         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT        WEL_V1_IN       WEL_V1_OUT           GHB_IN          GHB_OUT           RCH_IN          RCH_OUT           DRT_IN          DRT_OUT           SFR_IN          SFR_OUT          MNW2_IN         MNW2_OUT     FMP_WELLS_IN    FMP_WELLS_OUT       FMP_FNR_IN      FMP_FNR_OUT         IN_OUT  PERCENT_ERROR
1969-12-01T00:00:00     1     1           31.0           31.0     6.3378344E+8     6.3584668E+8              0.0              0.0     5.6409860E+6      96324.23980        265.85568              0.0      25691.63505              0.0              0.0       4859.13641     115194.57290     272303.85971    1.5491210E-10    1.7261342E-10              0.0     818091.63830     285491.78518     2.8128165E+6      0.0024662  3.8543372E-10
1970-01-01T00:00:00     2     1           31.0           62.0     5.9185275E+8     6.6820751E+8              0.0              0.0     2.2944988E+7     100504.04980        265.85540              0.0      28714.18040              0.0              0.0       4897.78167     988009.41173      49324.28889    2.1537502E-10    1.5036597E-10              0.0              0.0     5.8545929E+7     5.9984264E+6      0.0062990  9.3407271E-10
1970-02-01T00:00:00     3     1           28.0           90.0     6.1793534E+8     6.2964634E+8              0.0              0.0     1.4382177E+7     104495.30080        265.85515              0.0      28714.18040              0.0              0.0       4916.73658     273926.66458     147837.89475    1.5357220E-10    2.9934743E-10              0.0      42890.05135     6.9070806E+6     9.5810254E+6      0.0036384  5.6891794E-10
1970-03-01T00:00:00     4     1           31.0          121.0     6.3598016E+8     6.1466563E+8              0.0              0.0     2.3182269E+6     100504.04980        265.85486              0.0      28714.18040              0.0              0.0       4928.17610     218276.09559     181868.10657    1.3458738E-10    1.3502747E-10              0.0     3.3578750E+6     4.8217820E+6     2.5056617E+7      0.0021782  3.3856115E-10
1970-04-01T00:00:00     5     1           30.0          151.0     6.3315298E+8     6.1125954E+8              0.0              0.0              0.0     109168.14180        265.85459              0.0      28714.18040              0.0              0.0       4939.83306     123529.69974     264566.12571    2.0385803E-10    1.1302457E-10              0.0     3.4990611E+6     980848.61799     1.9149065E+7      0.0196859   3.1036242E-9
1970-05-01T00:00:00     6     1           31.0          182.0     6.3812819E+8     6.0192455E+8              0.0              0.0              0.0     125785.10580        265.85431              0.0      28714.18040              0.0              0.0       4945.45934     110455.49855     283106.79514    9.5846059E-11    2.0960402E-10              0.0     4.8816565E+6     906588.75884     3.1954174E+7      0.5219113   8.1653992E-8
1970-06-01T00:00:00     7     1           30.0          212.0     6.3130219E+8     5.9758752E+8              0.0              0.0              0.0     144606.19080        265.85403              0.0      28714.18040              0.0              0.0       4950.70269     134945.11292     255480.09600    1.3445034E-10    1.9551224E-10              0.0     895275.31644     827745.48492     3.3406035E+7      0.8239505   1.3031133E-7
1970-07-01T00:00:00     8     1           31.0          243.0     6.6334478E+8     5.7820896E+8              0.0              0.0              0.0     152685.69080        265.85374              0.0      28714.18040              0.0              0.0       4933.26342     109699.26447     281906.67195    1.9732227E-10    1.0830525E-10              0.0     3.6677243E+6     620109.59051     8.1787555E+7      196.01560   2.9515813E-5
1970-08-01T00:00:00     9     1           31.0          274.0     6.5094392E+8     5.7793990E+8              0.0              0.0              0.0     153108.41080        265.85345              0.0      28714.18040              0.0              0.0       4922.77933     109367.23576     281483.18150    9.9216882E-11    1.5662571E-10              0.0     3.4753103E+6     598975.68521     6.9826520E+7      3.4361223   5.2727040E-7
1970-09-01T00:00:00    10     1           30.0          304.0     6.3880968E+8     5.7821515E+8              0.0              0.0              0.0     147225.87380        265.85317              0.0      28714.18040              0.0              0.0       4918.61140     108881.08552     281899.01297    1.2800557E-10    2.3249928E-10              0.0     3.2881738E+6     575641.20687     5.7585819E+7      1.4229674   2.2250443E-7
