 "GAGE No.  810:  K,I,J Coord. =     1,  100,   38;  STREAM SEGMENT =    20;  REACH =     1 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     3.1000000E+01   1.1568899E+02   3.2635351E+05   1.2809371E+02  -4.2593129E+00  -2.1296565E+00
     6.2000000E+01   1.1979999E+02   6.6775672E+07   1.2809371E+02  -9.7069515E-02  -4.8534757E-02
     9.0000000E+01   1.1683098E+02   9.3550550E+06   1.2809371E+02  -3.0191075E+00  -1.5095537E+00
     1.2100000E+02   1.1644181E+02   5.2264019E+06   1.2809371E+02  -3.3559822E+00  -1.6779911E+00
     1.5100000E+02   1.1576147E+02   5.8100576E+05   1.2809371E+02  -3.9854088E+00  -1.9927044E+00
     1.8200000E+02   1.1564961E+02   2.1458520E+05   1.2809371E+02  -4.0444291E+00  -2.0222145E+00
     2.1200000E+02   1.1582128E+02   8.3286187E+05   1.2809371E+02  -3.8214477E+00  -1.9107239E+00
     2.4300000E+02   1.1564346E+02   1.9896422E+05   1.2809371E+02  -3.9460347E+00  -1.9730174E+00
     2.7400000E+02   1.1564364E+02   1.9935124E+05   1.2809371E+02  -3.8924225E+00  -1.9462113E+00
     3.0400000E+02   1.1564247E+02   1.9633206E+05   1.2809371E+02  -3.8417186E+00  -1.9208593E+00
     3.3500000E+02   1.1638924E+02   4.7409622E+06   1.2809371E+02  -3.0412756E+00  -1.5206378E+00
     3.6500000E+02   1.1829587E+02   3.2512145E+07   1.2809371E+02  -1.0828732E+00  -5.4143662E-01
     3.9600000E+02   1.1858742E+02   3.8374555E+07   1.2809371E+02  -7.3771608E-01  -3.6885804E-01
     4.2700000E+02   1.1688605E+02   1.0011271E+07   1.2809371E+02  -2.3850185E+00  -1.1925093E+00
     4.5500000E+02   1.1575117E+02   5.4170976E+05   1.2809371E+02  -3.4707936E+00  -1.7353968E+00
     4.8600000E+02   1.1699818E+02   1.1419372E+07   1.2809371E+02  -2.1694553E+00  -1.0847277E+00
     5.1600000E+02   1.1609102E+02   2.3704357E+06   1.2809371E+02  -3.0237817E+00  -1.5118908E+00
     5.4700000E+02   1.1581856E+02   8.2014192E+05   1.2809371E+02  -3.2414843E+00  -1.6207422E+00
     5.7700000E+02   1.1564891E+02   2.1263465E+05   1.2809371E+02  -3.3580093E+00  -1.6790046E+00
     6.0800000E+02   1.1564339E+02   1.9875869E+05   1.2809371E+02  -3.3085148E+00  -1.6542574E+00
     6.3900000E+02   1.1566354E+02   2.5239366E+05   1.2809371E+02  -3.2332472E+00  -1.6166236E+00
     6.6900000E+02   1.1575216E+02   5.4514687E+05   1.2809371E+02  -3.0912038E+00  -1.5456019E+00
     7.0000000E+02   1.1583883E+02   9.1193850E+05   1.2809371E+02  -2.9492431E+00  -1.4746216E+00
     7.3000000E+02   1.1648843E+02   5.6706652E+06   1.2809371E+02  -2.2461330E+00  -1.1230665E+00
     7.6100000E+02   1.1768114E+02   2.1445472E+07   1.2809371E+02  -9.9826140E-01  -4.9913070E-01
     7.9200000E+02   1.1662014E+02   6.9993313E+06   1.2809371E+02  -2.0038253E+00  -1.0019126E+00
     8.2100000E+02   1.1678575E+02   8.8260095E+06   1.2809371E+02  -1.7863013E+00  -8.9315065E-01
     8.5200000E+02   1.1602227E+02   1.9187911E+06   1.2809371E+02  -2.4941076E+00  -1.2470538E+00
     8.8200000E+02   1.1634213E+02   4.3242949E+06   1.2809371E+02  -2.1203433E+00  -1.0601717E+00
     9.1300000E+02   1.1570138E+02   3.6638453E+05   1.2809371E+02  -2.7052371E+00  -1.3526186E+00
     9.4300000E+02   1.1572555E+02   4.4846964E+05   1.2809371E+02  -2.6269473E+00  -1.3134737E+00
     9.7400000E+02   1.1564728E+02   2.0863863E+05   1.2809371E+02  -2.6492394E+00  -1.3246197E+00
     1.0050000E+03   1.1567320E+02   2.7989277E+05   1.2809371E+02  -2.5672830E+00  -1.2836415E+00
     1.0350000E+03   1.1597528E+02   1.6349801E+06   1.2809371E+02  -2.2109772E+00  -1.1054886E+00
     1.0660000E+03   1.1664178E+02   7.2374337E+06   1.2809371E+02  -1.4884897E+00  -7.4424487E-01
     1.0960000E+03   1.1774694E+02   2.2541062E+07   1.2809371E+02  -3.2930451E-01  -1.6465226E-01
     1.1270000E+03   1.1718096E+02   1.3848967E+07   1.2809371E+02  -8.3930986E-01  -4.1965493E-01
     1.1580000E+03   1.1918708E+02   5.1642989E+07   1.2809371E+02   1.2224466E+00   6.1122330E-01
     1.1860000E+03   1.1806946E+02   2.8224054E+07   1.2809371E+02   1.5529374E-01   7.7646870E-02
     1.2170000E+03   1.1656036E+02   6.3873827E+06   1.2809371E+02  -1.2976321E+00  -6.4881604E-01
