 "GAGE No.  809:  K,I,J Coord. =     1,   20,   30;  STREAM SEGMENT =    15;  REACH =    18 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     3.1000000E+01   4.1550351E+02   9.7730324E+04   3.4005447E+02  -2.4980457E+00  -1.2490229E+00
     6.2000000E+01   4.1805984E+02   2.1581303E+07   3.4005447E+02   5.2408166E-02   2.6204083E-02
     9.0000000E+01   4.1624301E+02   3.1831633E+06   3.4005447E+02  -1.7663576E+00  -8.8317881E-01
     1.2100000E+02   4.1596325E+02   1.6267919E+06   3.4005447E+02  -2.0477921E+00  -1.0238961E+00
     1.5100000E+02   4.1552909E+02   1.4081779E+05   3.4005447E+02  -2.4834552E+00  -1.2417276E+00
     1.8200000E+02   4.1545483E+02   3.4310483E+04   3.4005447E+02  -2.5592512E+00  -1.2796256E+00
     2.1200000E+02   4.1556856E+02   2.1910129E+05   3.4005447E+02  -2.4470273E+00  -1.2235137E+00
     2.4300000E+02   4.1546297E+02   4.3069578E+04   3.4005447E+02  -2.5541525E+00  -1.2770763E+00
     2.7400000E+02   4.1546173E+02   4.1688024E+04   3.4005447E+02  -2.5569208E+00  -1.2784604E+00
     3.0400000E+02   4.1545824E+02   3.7884294E+04   3.4005447E+02  -2.5618945E+00  -1.2809472E+00
     3.3500000E+02   4.1595063E+02   1.5665943E+06   3.4005447E+02  -2.0711669E+00  -1.0355835E+00
     3.6500000E+02   4.1708136E+02   1.0051198E+07   3.4005447E+02  -9.4376363E-01  -4.7188181E-01
     3.9600000E+02   4.1727737E+02   1.2078014E+07   3.4005447E+02  -7.5157858E-01  -3.7578929E-01
     4.2700000E+02   4.1630133E+02   3.5582236E+06   3.4005447E+02  -1.7298849E+00  -8.6494245E-01
     4.5500000E+02   4.1552530E+02   1.3402405E+05   3.4005447E+02  -2.5073061E+00  -1.2536531E+00
     4.8600000E+02   4.1635365E+02   3.9087453E+06   3.4005447E+02  -1.6810215E+00  -8.4051075E-01
     5.1600000E+02   4.1576454E+02   7.8882175E+05   3.4005447E+02  -2.2716830E+00  -1.1358415E+00
     5.4700000E+02   4.1557237E+02   2.2735188E+05   3.4005447E+02  -2.4653955E+00  -1.2326978E+00
     5.7700000E+02   4.1546219E+02   4.2186353E+04   3.4005447E+02  -2.5770359E+00  -1.2885179E+00
     6.0800000E+02   4.1546314E+02   4.3247399E+04   3.4005447E+02  -2.5776001E+00  -1.2888000E+00
     6.3900000E+02   4.1548016E+02   6.4069977E+04   3.4005447E+02  -2.5620916E+00  -1.2810458E+00
     6.6900000E+02   4.1554027E+02   1.6157133E+05   3.4005447E+02  -2.5034620E+00  -1.2517310E+00
     7.0000000E+02   4.1559366E+02   2.7581902E+05   3.4005447E+02  -2.4516147E+00  -1.2258073E+00
     7.3000000E+02   4.1599782E+02   1.7962891E+06   3.4005447E+02  -2.0490953E+00  -1.0245477E+00
     7.6100000E+02   4.1671105E+02   6.6412337E+06   3.4005447E+02  -1.3386762E+00  -6.6933810E-01
     7.9200000E+02   4.1607172E+02   2.1808661E+06   3.4005447E+02  -1.9799641E+00  -9.8998203E-01
     8.2100000E+02   4.1618657E+02   2.8362803E+06   3.4005447E+02  -1.8670169E+00  -9.3350846E-01
     8.5200000E+02   4.1572578E+02   6.5436081E+05   3.4005447E+02  -2.3293766E+00  -1.1646883E+00
     8.8200000E+02   4.1591824E+02   1.4162484E+06   3.4005447E+02  -2.1384896E+00  -1.0692448E+00
     9.1300000E+02   4.1550079E+02   9.3496304E+04   3.4005447E+02  -2.5574537E+00  -1.2787269E+00
     9.4300000E+02   4.1551085E+02   1.0942153E+05   3.4005447E+02  -2.5488549E+00  -1.2744275E+00
     9.7400000E+02   4.1546981E+02   5.1021728E+04   3.4005447E+02  -2.5913836E+00  -1.2956918E+00
     1.0050000E+03   4.1548789E+02   7.4570133E+04   3.4005447E+02  -2.5748120E+00  -1.2874060E+00
     1.0350000E+03   4.1568046E+02   5.1015896E+05   3.4005447E+02  -2.3837366E+00  -1.1918683E+00
     1.0660000E+03   4.1607320E+02   2.1888796E+06   3.4005447E+02  -1.9926676E+00  -9.9633378E-01
     1.0960000E+03   4.1677079E+02   7.1529272E+06   3.4005447E+02  -1.2978169E+00  -6.4890846E-01
     1.1270000E+03   4.1643777E+02   4.4995837E+06   3.4005447E+02  -1.6332320E+00  -8.1661599E-01
     1.1580000E+03   4.1765093E+02   1.6341652E+07   3.4005447E+02  -4.2492640E-01  -2.1246320E-01
     1.1860000E+03   4.1696240E+02   8.8946445E+06   3.4005447E+02  -1.1164400E+00  -5.5821998E-01
     1.2170000E+03   4.1604156E+02   2.0203162E+06   3.4005447E+02  -2.0389163E+00  -1.0194582E+00
     1.2470000E+03   4.1549975E+02   9.1905766E+04   3.4005447E+02  -2.5821597E+00  -1.2910798E+00
     1.2780000E+03   4.1547254E+02   5.4333947E+04   3.4005447E+02  -2.6108461E+00  -1.3054231E+00
     1.3080000E+03   4.1544454E+02   2.4395074E+04   3.4005447E+02  -2.6402682E+00  -1.3201341E+00
     1.3390000E+03   4.1546382E+02   4.4002593E+04   3.4005447E+02  -2.6224615E+00  -1.3112307E+00
     1.3700000E+03   4.1546556E+02   4.5997961E+04   3.4005447E+02  -2.6221888E+00  -1.3110944E+00
     1.4000000E+03   4.1567110E+02   4.8217209E+05   3.4005447E+02  -2.4181214E+00  -1.2090607E+00
     1.4310000E+03   4.1603587E+02   1.9905909E+06   3.4005447E+02  -2.0549853E+00  -1.0274927E+00
     1.4610000E+03   4.1762528E+02   1.6032582E+07   3.4005447E+02  -4.6995600E-01  -2.3497800E-01
     1.4920000E+03   4.1657032E+02   5.4968486E+06   3.4005447E+02  -1.5274534E+00  -7.6372672E-01
     1.5230000E+03   4.1690210E+02   8.3302336E+06   3.4005447E+02  -1.1988587E+00  -5.9942936E-01
     1.5510000E+03   4.1627323E+02   3.3753742E+06   3.4005447E+02  -1.8296425E+00  -9.1482127E-01
     1.5820000E+03   4.1690071E+02   8.3173681E+06   3.4005447E+02  -1.2050993E+00  -6.0254964E-01
