,Station,date,meas
0,Son0001,1975-02-01,1021.2976
1,Son0002,1975-02-01,1017.3628
2,Son0004,1975-02-01,413.9369
3,Son0005,1975-02-01,421.89813
4,Son0006,1975-02-01,418.98126
5,Son0007,1975-02-01,418.98126
6,Son0008,1975-02-01,411.74106
7,Son0009,1975-02-01,410.6514
8,Son0010,1975-02-01,401.43732
9,Son0011,1975-02-01,398.0916
10,Son0012,1975-02-01,404.8647
11,Son0014,1975-02-01,401.6074
12,Son0016,1975-02-01,399.0251
13,Son0017,1975-02-01,450.35046
14,Son0018,1975-02-01,497.5825
15,Son0021,1975-02-01,546.63184
16,Son0022,1975-02-01,396.70786
17,Son0023,1975-02-01,398.52545
18,Son0024,1975-02-01,396.61942
19,Son0025,1975-02-01,394.9562
20,Son0027,1975-02-01,399.43484
21,Son0028,1975-02-01,396.71512
22,Son0029,1975-02-01,382.68552
23,Son0030,1975-02-01,367.95993
24,Son0031,1975-02-01,352.24905
25,Son0034,1975-02-01,367.85025
26,Son0036,1975-02-01,311.67932
27,Son0037,1975-02-01,603.9223
28,Son0038,1975-02-01,272.34995
29,Son0039,1975-02-01,306.08618
30,Son0040,1975-02-01,1057.7563
31,Son0041,1975-02-01,1111.3645
32,Son0042,1975-02-01,1593.768
33,Son0043,1975-02-01,1445.9485
34,Son0044,1975-02-01,1120.0199
35,Son0045,1975-02-01,1115.7802
36,Son0046,1975-02-01,1209.6658
37,Son0047,1975-02-01,382.3307
38,Son0048,1975-02-01,385.53195
39,Son0049,1975-02-01,336.867
40,Son0050,1975-02-01,306.23566
41,Son0051,1975-02-01,1025.2896
42,Son0052,1975-02-01,833.53217
43,Son0053,1975-02-01,333.57358
44,Son0054,1975-02-01,296.82364
45,Son0055,1975-02-01,309.831
46,Son0056,1975-02-01,324.3761
47,Son0057,1975-02-01,274.32397
48,Son0058,1975-02-01,287.34778
49,Son0059,1975-02-01,286.5028
50,Son0060,1975-02-01,269.6108
51,Son0061,1975-02-01,181.16133
52,Son0062,1975-02-01,95.20454
53,Son0063,1975-02-01,81.15211
54,Son0064,1975-02-01,277.72208
55,Son0065,1975-02-01,62.605324
56,Son0066,1975-02-01,62.529144
57,Son0068,1975-02-01,62.605324
58,Son0069,1975-02-01,100.02682
59,Son0070,1975-02-01,63.56245
60,Son0074,1975-02-01,72.31305
61,Son0075,1975-02-01,73.112015
62,Son0076,1975-02-01,61.644268
63,Son0077,1975-02-01,62.75263
64,Son0078,1975-02-01,71.60191
65,Son0080,1975-02-01,67.68256
66,Son0081,1975-02-01,58.93778
67,Son0083,1975-02-01,59.110203
68,Son0084,1975-02-01,56.84483
69,Son0087,1975-02-01,57.968815
70,Son0088,1975-02-01,56.456528
71,Son0089,1975-02-01,30.927464
72,Son0091,1975-02-01,43.018734
73,Son0092,1975-02-01,40.715992
74,Son0093,1975-02-01,38.262817
75,Son0094,1975-02-01,41.36974
76,Son0095,1975-02-01,32.67662
77,Son0096,1975-02-01,37.313656
78,Son0099,1975-02-01,259.00113
79,Son0100,1975-02-01,232.55272
80,Son0101,1975-02-01,212.48625
81,Son0102,1975-02-01,228.6975
82,Son0103,1975-02-01,271.86243
83,Son0104,1975-02-01,232.55272
84,Son0105,1975-02-01,177.33069
85,Son0106,1975-02-01,262.9352
86,Son0107,1975-02-01,80.647095
87,Son0108,1975-02-01,76.56357
88,Son0111,1975-02-01,75.16665
89,Son0112,1975-02-01,60.368103
90,Son0113,1975-02-01,65.00799
91,Son0114,1975-02-01,60.768986
92,Son0115,1975-02-01,49.76363
93,Son0120,1975-02-01,48.479683
94,Son0123,1975-02-01,752.38574
95,Son0124,1975-02-01,216.34213
96,Son0125,1975-02-01,248.58682
97,Son0126,1975-02-01,37.65696
98,Son0127,1975-02-01,34.018536
99,Son0128,1975-02-01,34.411255
100,Son0129,1975-02-01,84.421974
101,Son0131,1975-02-01,47.696476
102,Son0132,1975-02-01,43.611797
103,Son0133,1975-02-01,43.611797
104,Son0134,1975-02-01,34.475975
105,Son0135,1975-02-01,37.074566
106,Son0136,1975-02-01,32.805016
107,Son0137,1975-02-01,32.993946
108,Son0138,1975-02-01,32.805016
109,Son0139,1975-02-01,32.504623
110,Son0145,1975-02-01,20.03835
111,Son0146,1975-02-01,23.925743
112,Son0147,1975-02-01,23.925743
113,Son0152,1975-02-01,15.525059
114,Son0154,1975-02-01,27.123724
115,Son0155,1975-02-01,11.5723715
116,Son0157,1975-02-01,-2.2857745
117,Son0158,1975-02-01,-2.2857745
118,Son0159,1975-02-01,-3.5629652
119,Son0160,1975-02-01,-7.9981656
120,Son0161,1975-02-01,-5.5435734
121,Son0162,1975-02-01,-6.719908
122,Son0164,1975-02-01,335.38077
123,Son0166,1975-02-01,29.180502
124,Son0167,1975-02-01,21.59108
125,Son0168,1975-02-01,32.456127
126,Son0169,1975-02-01,33.5244
127,Son0170,1975-02-01,33.54261
128,Son0171,1975-02-01,29.718674
129,Son0172,1975-02-01,27.352562
130,Son0174,1975-02-01,6.7401285
131,Son0175,1975-02-01,23.95688
132,Son0176,1975-02-01,10.008355
133,Son0177,1975-02-01,-2.7686877
134,Son0179,1975-02-01,-3.1060777
135,Son0180,1975-02-01,-7.9520574
136,Son0183,1975-02-01,1115.0209
137,Son0184,1975-02-01,1051.1406
138,Son0185,1975-02-01,1029.5137
139,Son0186,1975-02-01,734.5238
140,Son0187,1975-02-01,763.55597
141,Son0188,1975-02-01,8.690671
142,Son0189,1975-02-01,-19.350761
143,Son0191,1975-02-01,-22.211222
144,Son0192,1975-02-01,606.7974
145,Son0193,1975-02-01,-69.56552
146,Son0201,1975-02-01,382.1138
147,Son0224,1975-02-01,166.74007
148,Son0235,1975-02-01,259.00113
149,Son0265,1975-02-01,-1.4088572
150,Son0267,1975-02-01,-7.3096013
151,Son0277,1975-02-01,-0.15061669
152,Son0279,1975-02-01,0.5530546
