,Station,date,meas
0,Son0001,1975-02-01,643.5120000000005
1,Son0002,1975-02-01,701.841000000001
2,Son0004,1975-02-01,519.276749999999
3,Son0005,1975-02-01,492.8689328613285
4,Son0006,1975-02-01,485.27076572265673
5,Son0007,1975-02-01,479.7193328613282
6,Son0008,1975-02-01,473.25999999999993
7,Son0009,1975-02-01,464.7129999999997
8,Son0010,1975-02-01,428.94398939209
9,Son0011,1975-02-01,414.8271869873047
10,Son0012,1975-02-01,398.3839999999997
11,Son0014,1975-02-01,444.089436987305
12,Son0016,1975-02-01,416.85058048095664
13,Son0017,1975-02-01,440.0093304809577
14,Son0018,1975-02-01,470.5099864746095
15,Son0021,1975-02-01,521.0989000000002
16,Son0022,1975-02-01,434.3981640747072
17,Son0023,1975-02-01,408.4459468749999
18,Son0024,1975-02-01,412.2867359130858
19,Son0025,1975-02-01,424.8127414428712
20,Son0027,1975-02-01,428.5768003295893
21,Son0028,1975-02-01,401.193
22,Son0029,1975-02-01,400.43019999999945
23,Son0030,1975-02-01,371.9300117919922
24,Son0031,1975-02-01,352.11370000000005
25,Son0034,1975-02-01,361.8008999999996
26,Son0036,1975-02-01,288.68639999999976
27,Son0037,1975-02-01,585.2791000000007
28,Son0038,1975-02-01,266.1186991210936
29,Son0039,1975-02-01,283.8826199462889
30,Son0040,1975-02-01,859.6578999999992
31,Son0041,1975-02-01,940.2339999999992
32,Son0042,1975-02-01,1438.7284000000006
33,Son0043,1975-02-01,1096.7068000000022
34,Son0044,1975-02-01,921.3869999999998
35,Son0045,1975-02-01,919.7799999999996
36,Son0046,1975-02-01,922.7920999999998
37,Son0047,1975-02-01,369.2464
38,Son0048,1975-02-01,371.2216328613277
39,Son0049,1975-02-01,370.5103999999995
40,Son0050,1975-02-01,334.9513407104492
41,Son0051,1975-02-01,664.317000000001
42,Son0052,1975-02-01,760.8999999999995
43,Son0053,1975-02-01,350.6540000000001
44,Son0054,1975-02-01,268.27293225097657
45,Son0055,1975-02-01,314.93300000000045
