,Station,date,meas
0,Son0001,1975-12-31,372.9486
1,Son0002,1975-12-31,372.9553
2,Son0004,1975-12-31,432.91434
3,Son0005,1975-12-31,449.2411
4,Son0006,1975-12-31,445.31482
5,Son0007,1975-12-31,445.31482
6,Son0008,1975-12-31,427.68436
7,Son0009,1975-12-31,422.0663
8,Son0010,1975-12-31,403.1575
9,Son0011,1975-12-31,403.29404
10,Son0012,1975-12-31,413.38895
11,Son0014,1975-12-31,404.04773
12,Son0016,1975-12-31,404.33182
13,Son0017,1975-12-31,413.9003
14,Son0018,1975-12-31,505.8945
15,Son0021,1975-12-31,327.61392
16,Son0022,1975-12-31,405.63806
17,Son0023,1975-12-31,408.22635
18,Son0024,1975-12-31,405.05875
19,Son0025,1975-12-31,406.7108
20,Son0027,1975-12-31,403.64835
21,Son0028,1975-12-31,397.92227
22,Son0029,1975-12-31,385.9873
23,Son0030,1975-12-31,364.71008
24,Son0031,1975-12-31,350.464
25,Son0034,1975-12-31,358.65906
26,Son0036,1975-12-31,323.07498
27,Son0037,1975-12-31,359.59415
28,Son0038,1975-12-31,331.95523
29,Son0039,1975-12-31,296.91986
30,Son0040,1975-12-31,309.27667
31,Son0041,1975-12-31,313.8246
32,Son0042,1975-12-31,320.8174
33,Son0043,1975-12-31,302.4531
34,Son0044,1975-12-31,281.05133
35,Son0045,1975-12-31,278.60464
36,Son0046,1975-12-31,276.12503
37,Son0047,1975-12-31,387.1312
38,Son0048,1975-12-31,380.08902
39,Son0049,1975-12-31,333.39996
40,Son0050,1975-12-31,312.45325
41,Son0051,1975-12-31,309.1836
42,Son0052,1975-12-31,288.3427
43,Son0053,1975-12-31,320.18423
44,Son0054,1975-12-31,294.45392
45,Son0055,1975-12-31,276.44504
46,Son0056,1975-12-31,308.09036
47,Son0057,1975-12-31,271.35867
48,Son0058,1975-12-31,258.9407
49,Son0059,1975-12-31,254.59576
50,Son0060,1975-12-31,276.0826
51,Son0061,1975-12-31,162.88383
52,Son0062,1975-12-31,86.882416
53,Son0063,1975-12-31,70.00332
54,Son0064,1975-12-31,267.9547
55,Son0065,1975-12-31,47.009964
56,Son0066,1975-12-31,48.327816
57,Son0068,1975-12-31,47.009964
58,Son0069,1975-12-31,59.69978
59,Son0070,1975-12-31,42.95516
60,Son0074,1975-12-31,47.894276
61,Son0075,1975-12-31,47.918606
62,Son0076,1975-12-31,36.86987
63,Son0077,1975-12-31,45.790863
64,Son0078,1975-12-31,46.84634
65,Son0080,1975-12-31,44.09206
66,Son0081,1975-12-31,40.1549
67,Son0083,1975-12-31,45.668743
68,Son0084,1975-12-31,44.997837
69,Son0087,1975-12-31,45.16965
70,Son0088,1975-12-31,40.01568
71,Son0089,1975-12-31,39.78761
72,Son0091,1975-12-31,60.86011
73,Son0092,1975-12-31,49.153305
74,Son0093,1975-12-31,49.529232
75,Son0094,1975-12-31,62.69478
76,Son0095,1975-12-31,50.171093
77,Son0096,1975-12-31,89.78565
78,Son0099,1975-12-31,209.90157
79,Son0100,1975-12-31,197.47792
80,Son0101,1975-12-31,187.27002
81,Son0102,1975-12-31,195.41089
82,Son0103,1975-12-31,189.47502
83,Son0104,1975-12-31,197.47792
84,Son0105,1975-12-31,183.09068
85,Son0106,1975-12-31,187.19165
86,Son0107,1975-12-31,66.86285
87,Son0108,1975-12-31,83.13362
88,Son0111,1975-12-31,68.20707
89,Son0112,1975-12-31,66.01873
90,Son0113,1975-12-31,65.17199
91,Son0114,1975-12-31,62.415955
92,Son0115,1975-12-31,49.40581
93,Son0120,1975-12-31,30.132181
94,Son0123,1975-12-31,203.79482
95,Son0124,1975-12-31,189.15541
96,Son0125,1975-12-31,191.55812
97,Son0126,1975-12-31,67.43797
98,Son0127,1975-12-31,58.11707
99,Son0128,1975-12-31,68.22828
100,Son0129,1975-12-31,172.5893
101,Son0131,1975-12-31,46.08099
102,Son0132,1975-12-31,43.50262
103,Son0133,1975-12-31,43.50262
104,Son0134,1975-12-31,45.784756
105,Son0135,1975-12-31,45.40819
106,Son0136,1975-12-31,44.84312
107,Son0137,1975-12-31,42.823032
108,Son0138,1975-12-31,44.84312
109,Son0139,1975-12-31,55.835735
