,Station Name,station_no,Site,Easting,Northing,Latitude,Longitude,rasterelevation,slope,Simple_Bou,Complete_B,isostatic,Geol_Krig,Depth,i,j,zone,num_meas
0,Son0001,SV-F06-01,SON,6391016.000,1905457.000,38.393,-122.595,996.860,0.880,0.335,0.369,0.235,0,Deep,29,4,Highlands,59
1,Son0002,SV-F06-02,SON,6391233.000,1905679.000,38.393,-122.595,1052.510,0.844,0.315,0.348,0.211,0,Deep,29,5,Highlands,61
2,Son0004,SV-G03-02,SON,6398573.652,1922586.338,38.440,-122.569,549.170,0.893,-0.437,-0.299,-0.336,1,Deep,4,32,Kenwood,32
3,Son0005,SV-G03-03,SON,6398828.435,1922322.627,38.439,-122.569,534.900,0.502,-0.437,-0.299,-0.338,1,Shallow,4,32,Kenwood,37
4,Son0006,SV-G03-04,SON,6398983.820,1921954.024,38.438,-122.568,517.040,0.553,-0.440,-0.307,-0.357,1,Shallow,5,32,Kenwood,36
5,Son0007,SV-G03-06,SON,6398818.862,1921983.387,38.438,-122.569,519.760,0.686,-0.444,-0.314,-0.371,1,Shallow,5,32,Kenwood,35
6,Son0008,SV-G04-01,SON,6397115.219,1920119.822,38.433,-122.574,478.480,0.435,-0.497,-0.429,-0.638,1,Shallow,7,27,Kenwood,12
7,Son0009,SV-G04-02,SON,6397099.535,1919284.971,38.431,-122.574,468.840,0.267,-0.486,-0.429,-0.653,1,Shallow,8,26,Kenwood,159
8,Son0010,SV-G04-03,SON,6397888.813,1915798.791,38.421,-122.572,436.720,0.533,-0.378,-0.350,-0.563,1,Shallow,15,25,Kenwood,12
9,Son0011,SV-G04-04,SON,6398568.201,1916263.573,38.423,-122.569,428.820,0.578,-0.392,-0.357,-0.553,1,Shallow,15,27,Kenwood,25
10,Son0012,SV-G04-05,SON,6398478.634,1919068.741,38.430,-122.570,462.380,0.371,-0.463,-0.394,-0.570,1,Deep,10,29,Kenwood,15
11,Son0014,SV-G04-07,SON,6398481.689,1918330.778,38.428,-122.570,450.740,0.458,-0.449,-0.390,-0.577,1,Shallow,11,28,Kenwood,13
12,Son0016,SV-G04-09,SON,6398870.000,1915621.000,38.421,-122.568,426.670,0.363,-0.368,-0.340,-0.527,1,Shallow,17,27,Kenwood,13
13,Son0017,SV-G05-01,SON,6397435.234,1914697.405,38.418,-122.573,476.790,1.533,-0.332,-0.314,-0.531,1,Shallow,17,23,VOM,13
14,Son0018,SV-G05-02,SON,6397934.910,1910320.365,38.406,-122.571,572.800,0.540,-0.148,-0.152,-0.321,0,Deep,26,21,VOM,9
15,Son0021,SV-H03-01,SON,6405689.616,1921832.053,38.438,-122.545,533.580,1.308,-0.182,0.099,0.461,0,Shallow,10,44,Highlands,23
16,Son0022,SV-H04-01,SON,6400577.292,1917622.956,38.426,-122.562,439.290,0.191,-0.391,-0.322,-0.432,1,Shallow,14,32,Kenwood,18
17,Son0023,SV-H04-03,SON,6401343.612,1917960.610,38.427,-122.560,444.840,1.287,-0.374,-0.291,-0.359,1,Deep,14,33,Kenwood,21
18,Son0024,SV-H04-04,SON,6400907.489,1917010.928,38.425,-122.561,437.760,0.187,-0.370,-0.310,-0.415,1,Deep,16,32,Kenwood,33
19,Son0025,SV-H04-05,SON,6403751.434,1916650.956,38.424,-122.551,437.330,0.252,-0.272,-0.189,-0.165,1,Shallow,18,37,Kenwood,20
20,Son0027,SV-H05-01,SON,6398568.755,1915528.639,38.421,-122.569,503.960,0.394,-0.367,-0.340,-0.536,1,Shallow,16,26,Kenwood,24
21,Son0028,SV-H05-02,SON,6402656.953,1913211.230,38.414,-122.555,407.130,2.680,-0.231,-0.220,-0.282,1,Shallow,24,32,Kenwood,30
22,Son0029,SV-H05-03,SON,6405017.832,1911899.343,38.411,-122.547,411.600,0.374,-0.132,-0.127,-0.111,1,Shallow,28,35,Kenwood,14
23,Son0030,SV-H06-01,SON,6403115.631,1908668.507,38.402,-122.553,393.110,5.420,-0.095,-0.118,-0.170,1,Shallow,33,29,VOM,16
24,Son0031,SV-H06-02,SON,6403571.220,1906399.731,38.396,-122.552,359.910,1.876,-0.032,-0.053,-0.124,1,Shallow,37,28,VOM,33
25,Son0034,SV-H06-05,SON,6402893.058,1907360.965,38.398,-122.554,383.010,1.055,-0.062,-0.085,-0.155,1,Shallow,35,28,VOM,14
26,Son0036,SV-H07-01,SON,6404039.535,1899550.098,38.377,-122.550,329.920,0.937,0.121,0.130,-0.004,1,Shallow,50,24,VOM,26
27,Son0037,SV-H08-01,SON,6400587.739,1896943.011,38.370,-122.562,605.940,1.431,0.215,0.258,0.096,0,Deep,52,15,Highlands,22
28,Son0038,SV-H08-02,SON,6403898.492,1897562.489,38.371,-122.550,348.300,3.172,0.164,0.185,0.049,1,Deep,54,22,VOM,27
