cropnum,parname,parvalue
 SFAC,KC_SFAC,1.328494646683898717
 1,KC_CITRUS_AND_SUBTROPICAL,1.43526300289372676921573201980209
 2,KC_DECIDUOUS_FRUITS_AND_NUTS,1.29589842966518586919733024842571
 3,KC_FIELD_CROP, 1.37424293718843348877101107063936
 4,KC_GRAIN_AND_HAY_CROPS,1.40438301807254073416686424025102
 5,KC_IDLE,1.34762330652818906884249372524209
 6,KC_NATIVE_VEGETATION_RIPARIAN,1.42957208247954015156722107349196
 7,KC_PASTURE,1.35082674405387659355426421825541
 8,KC_SEMIAGRICULTURAL,1.41077583454855948197348425310338
 9,KC_SEMIPAVED,1.39669849923054623097584681090666
10,KC_TRUCK_NURSERY_AND_BERRY_CROPS,1.40581627524634211745535594673129
11,KC_TURF,1.38313251400885017794450959627284
12,KC_VINEYARD,1.39961056855087373484991530858679
13,KC_WALNUTS,1.41873374917762662406062190711964
14,KC_WATER,1.33179848924759647310622767690802
