cropnum,parname,parvalue
 1,OFE_CITRUS_AND_SUBTROPICAL,0.696376326705983261788901472755242
 2,OFE_DECIDUOUS_FRUITS_AND_NUTS,0.707326945793328332179328299389454
 3,OFE_FIELD_CROP, 0.688404806953795134205620342982002
 4,OFE_GRAIN_AND_HAY_CROPS,0.689691182631623767029793725669151
 5,OFE_IDLE,0.702772407923010322683410322497366
 6,OFE_NATIVE_VEGETATION_RIPARIAN,0.698043913931670867434320371103240
 7,OFE_PASTURE,0.713963878884719016504334376804763
 8,OFE_SEMIAGRICULTURAL,0.688393099512384920579677327623358
 9,OFE_SEMIPAVED,0.698032931469716233507938341062982
10,OFE_TRUCK_NURSERY_AND_BERRY_CROPS,   0.702678850997954462798134045442566
11,OFE_TURF,0.713392412086554794647952348896069
12,OFE_VINEYARD,0.690914311133096314954116223816527
13,OFE_WALNUTS,0.696009312648391498257183229725342
14,OFE_WATER,0.698799218067529426257067370897857
