CROP_NAME,date,term
BareLand,1970-01-01,0.0
BareLand,1971-01-01,0.0
BareLand,1972-01-01,0.0
BareLand,1973-01-01,0.0
BareLand,1974-01-01,0.0
BareLand,1975-01-01,0.0
BareLand,1976-01-01,0.0
BareLand,1977-01-01,0.0
BareLand,1978-01-01,0.0
BareLand,1979-01-01,0.0
BareLand,1980-01-01,0.0
BareLand,1981-01-01,0.0
BareLand,1982-01-01,0.0
BareLand,1983-01-01,0.0
BareLand,1984-01-01,0.0
BareLand,1985-01-01,0.0
BareLand,1986-01-01,0.0
BareLand,1987-01-01,0.0
BareLand,1988-01-01,0.0
BareLand,1989-01-01,0.0
BareLand,1990-01-01,0.0
BareLand,1991-01-01,0.0
BareLand,1992-01-01,0.0
BareLand,1993-01-01,0.0
BareLand,1994-01-01,0.0
BareLand,1995-01-01,0.0
BareLand,1996-01-01,0.0
BareLand,1997-01-01,0.0
BareLand,1998-01-01,0.0
BareLand,1999-01-01,0.0
BareLand,2000-01-01,0.0
BareLand,2001-01-01,0.0
BareLand,2002-01-01,0.0
BareLand,2003-01-01,0.0
BareLand,2004-01-01,0.0
BareLand,2005-01-01,0.0
BareLand,2006-01-01,0.0
BareLand,2007-01-01,0.0
BareLand,2008-01-01,0.0
BareLand,2009-01-01,0.0
BareLand,2010-01-01,0.0
BareLand,2011-01-01,0.0
BareLand,2012-01-01,0.0
BareLand,2013-01-01,0.0
BareLand,2014-01-01,0.0
BareLand,2015-01-01,0.0
BareLand,2016-01-01,0.0
BareLand,2017-01-01,0.0
BareLand,2018-01-01,0.0
CitrusSubtropic,1970-01-01,4.18656085772
CitrusSubtropic,1971-01-01,4.1424485903
CitrusSubtropic,1972-01-01,4.50112759994
CitrusSubtropic,1973-01-01,4.1664490117
CitrusSubtropic,1974-01-01,3.7938641725999998
CitrusSubtropic,1975-01-01,3.96379766152
CitrusSubtropic,1976-01-01,3.9785117471399998
CitrusSubtropic,1977-01-01,4.29158387634
CitrusSubtropic,1978-01-01,4.0644454450400005
CitrusSubtropic,1979-01-01,4.51001631376
CitrusSubtropic,1980-01-01,4.0405853044
CitrusSubtropic,1981-01-01,4.71140730014
CitrusSubtropic,1982-01-01,3.6791721858799997
CitrusSubtropic,1983-01-01,3.65933634192
CitrusSubtropic,1984-01-01,4.58314815834
CitrusSubtropic,1985-01-01,4.28453699084
CitrusSubtropic,1986-01-01,4.18455670652
CitrusSubtropic,1987-01-01,4.7633055942133335
CitrusSubtropic,1988-01-01,4.594710504186667
CitrusSubtropic,1989-01-01,4.322824268624
CitrusSubtropic,1990-01-01,4.2493512738
CitrusSubtropic,1991-01-01,4.569032248093333
CitrusSubtropic,1992-01-01,4.324531349586667
CitrusSubtropic,1993-01-01,4.01532628444
CitrusSubtropic,1994-01-01,4.43759600428
CitrusSubtropic,1995-01-01,4.10355106936
CitrusSubtropic,1996-01-01,4.13287266372
CitrusSubtropic,1997-01-01,4.5892496747200004
CitrusSubtropic,1998-01-01,3.73603743808
CitrusSubtropic,1999-01-01,0.0
CitrusSubtropic,2000-01-01,0.0
CitrusSubtropic,2001-01-01,0.0
CitrusSubtropic,2002-01-01,0.0
CitrusSubtropic,2003-01-01,0.0
CitrusSubtropic,2004-01-01,0.0
CitrusSubtropic,2005-01-01,0.0
CitrusSubtropic,2006-01-01,0.0
CitrusSubtropic,2007-01-01,0.0
