 "GAGE No.  810:  K,I,J Coord. =     1,  100,   38;  STREAM SEGMENT =    20;  REACH =     1 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     3.1000000E+01   1.1575653E+02   5.5886138E+05   8.9451760E+02   2.2438008E+00   1.1219004E+00
     6.2000000E+01   1.2067347E+02   9.0950076E+07   8.9451760E+02   7.1607458E+00   3.5803729E+00
     9.0000000E+01   1.1668555E+02   7.6895991E+06   8.9451760E+02   3.1728211E+00   1.5864106E+00
     1.2100000E+02   1.1567660E+02   2.8789298E+05   8.9451760E+02   2.1638745E+00   1.0819372E+00
     1.5100000E+02   1.1560353E+02   1.0698782E+05   8.9451760E+02   2.0907990E+00   1.0453995E+00
     1.8200000E+02   1.1559391E+02   8.9030709E+04   8.9451760E+02   2.0811864E+00   1.0405932E+00
     2.1200000E+02   1.1558399E+02   7.1534350E+04   8.9451760E+02   2.0712625E+00   1.0356313E+00
     2.4300000E+02   1.1562733E+02   1.5944131E+05   8.9451760E+02   2.1146059E+00   1.0573029E+00
     2.7400000E+02   1.1562249E+02   1.4825389E+05   8.9451760E+02   2.1097674E+00   1.0548837E+00
     3.0400000E+02   1.1560664E+02   1.1412243E+05   8.9451760E+02   2.0939150E+00   1.0469575E+00
     3.3500000E+02   1.1563050E+02   1.6579104E+05   8.9451760E+02   2.1177700E+00   1.0588850E+00
     3.6500000E+02   1.1855746E+02   3.7750848E+07   8.9451760E+02   5.0447320E+00   2.5223660E+00
     3.9600000E+02   1.1911319E+02   4.9916349E+07   8.9451760E+02   3.9572862E+00   1.9786431E+00
     4.2700000E+02   1.1690260E+02   1.0206508E+07   8.9451760E+02   1.1692536E+00   5.8462681E-01
     4.5500000E+02   1.1560464E+02   1.0945399E+05   8.9451760E+02   1.5764930E+00   7.8824650E-01
     4.8600000E+02   1.1644535E+02   5.2456925E+06   8.9451760E+02   1.7467337E+00   8.7336684E-01
     5.1600000E+02   1.1560557E+02   1.1119838E+05   8.9451760E+02   1.8402309E+00   9.2011545E-01
     5.4700000E+02   1.1558278E+02   6.9433470E+04   8.9451760E+02   2.0700498E+00   1.0350249E+00
     5.7700000E+02   1.1558205E+02   6.8355343E+04   8.9451760E+02   2.0693203E+00   1.0346601E+00
     6.0800000E+02   1.1562441E+02   1.5274371E+05   8.9451760E+02   2.1116840E+00   1.0558420E+00
     6.3900000E+02   1.1562226E+02   1.4776868E+05   8.9451760E+02   2.1095308E+00   1.0547654E+00
     6.6900000E+02   1.1560137E+02   1.0361453E+05   8.9451760E+02   2.0886399E+00   1.0443200E+00
     7.0000000E+02   1.1555963E+02   3.4976001E+04   8.9451760E+02   2.0469038E+00   1.0234519E+00
     7.3000000E+02   1.1587088E+02   1.0630785E+06   8.9451760E+02   2.3581513E+00   1.1790756E+00
     7.6100000E+02   1.1793355E+02   2.5758943E+07   8.9451760E+02   4.4208219E+00   2.2104109E+00
     7.9200000E+02   1.1650850E+02   5.8597842E+06   8.9451760E+02   2.9957738E+00   1.4978869E+00
     8.2100000E+02   1.1664766E+02   7.2815398E+06   8.9451760E+02   2.3925614E+00   1.1962807E+00
     8.5200000E+02   1.1558916E+02   8.0072395E+04   8.9451760E+02   2.0764369E+00   1.0382184E+00
     8.8200000E+02   1.1564411E+02   1.9889869E+05   8.9451760E+02   2.1313833E+00   1.0656916E+00
     9.1300000E+02   1.1557667E+02   5.9613460E+04   8.9451760E+02   2.0639427E+00   1.0319713E+00
     9.4300000E+02   1.1557168E+02   5.2044853E+04   8.9451760E+02   2.0589524E+00   1.0294762E+00
     9.7400000E+02   1.1562262E+02   1.4867922E+05   8.9451760E+02   2.1098887E+00   1.0549444E+00
     1.0050000E+03   1.1561830E+02   1.3895971E+05   8.9451760E+02   2.1055711E+00   1.0527856E+00
     1.0350000E+03   1.1558688E+02   7.6800456E+04   8.9451760E+02   2.0741554E+00   1.0370777E+00
     1.0660000E+03   1.1572634E+02   4.5006754E+05   8.9451760E+02   2.2136180E+00   1.1068090E+00
     1.0960000E+03   1.1781607E+02   2.3703944E+07   8.9451760E+02   4.3033406E+00   2.1516703E+00
     1.1270000E+03   1.1725995E+02   1.4952146E+07   8.9451760E+02   3.7472230E+00   1.8736115E+00
     1.1580000E+03   1.1990653E+02   6.9569721E+07   8.9451760E+02   3.4434169E+00   1.7217085E+00
     1.1860000E+03   1.1841423E+02   3.4843501E+07   8.9451760E+02   1.3529647E+00   6.7648235E-01
     1.2170000E+03   1.1572507E+02   4.4482187E+05   8.9451760E+02   1.3493789E+00   6.7468947E-01
     1.2470000E+03   1.1558398E+02   7.1129304E+04   8.9451760E+02   2.0712549E+00   1.0356274E+00
     1.2780000E+03   1.1557595E+02   5.8512132E+04   8.9451760E+02   2.0632274E+00   1.0316137E+00
     1.3080000E+03   1.1557269E+02   5.3613705E+04   8.9451760E+02   2.0599641E+00   1.0299821E+00
     1.3390000E+03   1.1562060E+02   1.4417222E+05   8.9451760E+02   2.1078686E+00   1.0539343E+00
     1.3700000E+03   1.1561555E+02   1.3296302E+05   8.9451760E+02   2.1028216E+00   1.0514108E+00
     1.4000000E+03   1.1558865E+02   7.9947843E+04   8.9451760E+02   2.0759210E+00   1.0379605E+00
     1.4310000E+03   1.1565809E+02   2.3590143E+05   8.9451760E+02   2.1453602E+00   1.0726801E+00
     1.4610000E+03   1.1962505E+02   6.2278771E+07   8.9451760E+02   6.1123273E+00   3.0561636E+00
     1.4920000E+03   1.1757873E+02   1.9774120E+07   8.9451760E+02   4.0660066E+00   2.0330033E+00
     1.5230000E+03   1.1823092E+02   3.1233279E+07   8.9451760E+02   2.9866780E+00   1.4933390E+00
     1.5510000E+03   1.1678277E+02   8.7795891E+06   8.9451760E+02   1.7820433E+00   8.9102163E-01
     1.5820000E+03   1.1783572E+02   2.4036639E+07   8.9451760E+02   1.1485498E+00   5.7427490E-01
     1.6120000E+03   1.1582502E+02   8.4620642E+05   8.9451760E+02   1.2639439E+00   6.3197197E-01
     1.6430000E+03   1.1557718E+02   6.0416660E+04   8.9451760E+02   2.0644519E+00   1.0322260E+00
     1.6730000E+03   1.1557092E+02   5.0959514E+04   8.9451760E+02   2.0581950E+00   1.0290975E+00
     1.7040000E+03   1.1560350E+02   1.0806245E+05   8.9451760E+02   2.0907709E+00   1.0453854E+00
     1.7350000E+03   1.1561679E+02   1.3568587E+05   8.9451760E+02   2.1040669E+00   1.0520334E+00
     1.7650000E+03   1.1559887E+02   9.8812191E+04   8.9451760E+02   2.0861460E+00   1.0430730E+00
     1.7960000E+03   1.1556137E+02   3.7276348E+04   8.9451760E+02   2.0486392E+00   1.0243196E+00
     1.8260000E+03   1.1562114E+02   1.4424568E+05   8.9451760E+02   2.1084091E+00   1.0542045E+00
     1.8570000E+03   1.1732696E+02   1.5919918E+07   8.9451760E+02   3.8142354E+00   1.9071177E+00
     1.8880000E+03   1.1639084E+02   4.7548710E+06   8.9451760E+02   2.8781149E+00   1.4390575E+00
     1.9160000E+03   1.1922394E+02   5.2508737E+07   8.9451760E+02   3.9750167E+00   1.9875083E+00
     1.9470000E+03   1.1783087E+02   2.3958345E+07   8.9451760E+02   1.8116844E+00   9.0584218E-01
     1.9770000E+03   1.1564162E+02   1.9266718E+05   8.9451760E+02   2.0798588E+00   1.0399294E+00
     2.0080000E+03   1.1557079E+02   5.0697438E+04   8.9451760E+02   2.0580638E+00   1.0290319E+00
     2.0380000E+03   1.1556500E+02   4.2524915E+04   8.9451760E+02   2.0522706E+00   1.0261353E+00
     2.0690000E+03   1.1561531E+02   1.3258724E+05   8.9451760E+02   2.1025874E+00   1.0512937E+00
     2.1000000E+03   1.1561342E+02   1.2843051E+05   8.9451760E+02   2.1006939E+00   1.0503470E+00
     2.1300000E+03   1.1559602E+02   9.3414240E+04   8.9451760E+02   2.0832955E+00   1.0416478E+00
     2.1610000E+03   1.1583258E+02   8.8124056E+05   8.9451760E+02   2.3198489E+00   1.1599244E+00
     2.1910000E+03   1.1563381E+02   1.7373434E+05   8.9451760E+02   2.1210791E+00   1.0605395E+00
     2.2220000E+03   1.1568684E+02   3.1868227E+05   8.9451760E+02   2.1741118E+00   1.0870559E+00
     2.2530000E+03   1.1557523E+02   5.7024152E+04   8.9451760E+02   2.0625013E+00   1.0312507E+00
     2.2820000E+03   1.1621432E+02   3.2672783E+06   8.9451760E+02   2.7015927E+00   1.3507964E+00
     2.3130000E+03   1.1555606E+02   3.0568958E+04   8.9451760E+02   2.0433281E+00   1.0216641E+00
     2.3430000E+03   1.1565450E+02   2.2597121E+05   8.9451760E+02   2.1417689E+00   1.0708845E+00
     2.3740000E+03   1.1555580E+02   3.0621821E+04   8.9451760E+02   2.0430729E+00   1.0215365E+00
     2.4040000E+03   1.1555705E+02   3.2212040E+04   8.9451760E+02   2.0443228E+00   1.0221614E+00
     2.4350000E+03   1.1561403E+02   1.2988003E+05   8.9451760E+02   2.1012989E+00   1.0506495E+00
     2.4660000E+03   1.1559665E+02   9.4702023E+04   8.9451760E+02   2.0839203E+00   1.0419601E+00
     2.4960000E+03   1.1558210E+02   6.8760826E+04   8.9451760E+02   2.0693749E+00   1.0346875E+00
     2.5270000E+03   1.1553819E+02   1.2066470E+04   8.9451760E+02   2.0254667E+00   1.0127334E+00
     2.5570000E+03   1.1565520E+02   2.2827287E+05   8.9451760E+02   2.1424707E+00   1.0712353E+00
     2.5880000E+03   1.1562139E+02   1.4505648E+05   8.9451760E+02   2.1086666E+00   1.0543333E+00
     2.6190000E+03   1.1624531E+02   3.5099473E+06   8.9451760E+02   2.7325807E+00   1.3662903E+00
     2.6470000E+03   1.1592046E+02   1.3187598E+06   8.9451760E+02   2.4077314E+00   1.2038657E+00
     2.6780000E+03   1.1559746E+02   9.5421840E+04   8.9451760E+02   2.0847367E+00   1.0423683E+00
     2.7080000E+03   1.1553565E+02   9.9789783E+03   8.9451760E+02   2.0229232E+00   1.0114616E+00
     2.7390000E+03   1.1553034E+02   6.2933717E+03   8.9451760E+02   2.0176127E+00   1.0088063E+00
     2.7690000E+03   1.1555162E+02   2.5818245E+04   8.9451760E+02   2.0388899E+00   1.0194449E+00
     2.8000000E+03   1.1561105E+02   1.2360609E+05   8.9451760E+02   2.0983263E+00   1.0491632E+00
     2.8310000E+03   1.1560818E+02   1.1752642E+05   8.9451760E+02   2.0954534E+00   1.0477267E+00
     2.8610000E+03   1.1556374E+02   4.1092162E+04   8.9451760E+02   2.0510144E+00   1.0255072E+00
     2.8920000E+03   1.1552844E+02   4.9023029E+03   8.9451760E+02   2.0157094E+00   1.0078547E+00
     2.9220000E+03   1.1777920E+02   2.3077725E+07   8.9451760E+02   4.2664716E+00   2.1332358E+00
     2.9530000E+03   1.1805175E+02   2.7882780E+07   8.9451760E+02   4.5390260E+00   2.2695130E+00
     2.9840000E+03   1.1967278E+02   6.3495890E+07   8.9451760E+02   6.1600490E+00   3.0800245E+00
     3.0120000E+03   1.1812170E+02   2.9176262E+07   8.9451760E+02   4.6089720E+00   2.3044860E+00
     3.0430000E+03   1.1670312E+02   7.8906406E+06   8.9451760E+02   3.1903969E+00   1.5951985E+00
