 "GAGE No.  809:  K,I,J Coord. =     1,   20,   30;  STREAM SEGMENT =    15;  REACH =    18 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     3.1000000E+01   4.1548112E+02   6.5311243E+04   9.3875499E+01   2.0819484E+00   1.0409742E+00
     6.2000000E+01   4.1857839E+02   2.9037765E+07   9.3875499E+01   3.5177659E+00   1.7588829E+00
     9.0000000E+01   4.1613007E+02   2.5053781E+06   9.3875499E+01   6.5793837E-01   3.2896918E-01
     1.2100000E+02   4.1548893E+02   7.6032294E+04   9.3875499E+01   1.5427531E+00   7.7137656E-01
     1.5100000E+02   4.1542186E+02   7.6778839E+03   9.3875499E+01   2.0226830E+00   1.0113415E+00
     1.8200000E+02   4.1544363E+02   2.3563708E+04   9.3875499E+01   2.0444526E+00   1.0222263E+00
     2.1200000E+02   4.1544369E+02   2.3623166E+04   9.3875499E+01   2.0445198E+00   1.0222599E+00
     2.4300000E+02   4.1550468E+02   9.9520052E+04   9.3875499E+01   2.1055099E+00   1.0527549E+00
     2.7400000E+02   4.1550137E+02   9.4365911E+04   9.3875499E+01   2.1021965E+00   1.0510982E+00
     3.0400000E+02   4.1548529E+02   7.0948508E+04   9.3875499E+01   2.0861219E+00   1.0430609E+00
     3.3500000E+02   4.1549428E+02   8.3713781E+04   9.3875499E+01   2.0951098E+00   1.0475549E+00
     3.6500000E+02   4.1720554E+02   1.1318021E+07   9.3875499E+01   3.8063626E+00   1.9031813E+00
     3.9600000E+02   4.1757224E+02   1.5401044E+07   9.3875499E+01   4.1730646E+00   2.0865323E+00
     4.2700000E+02   4.1630436E+02   3.5781502E+06   9.3875499E+01   2.9051868E+00   1.4525934E+00
     4.5500000E+02   4.1541433E+02   3.9203862E+03   9.3875499E+01   2.0151550E+00   1.0075775E+00
     4.8600000E+02   4.1600179E+02   1.8161948E+06   9.3875499E+01   2.6026163E+00   1.3013082E+00
     5.1600000E+02   4.1543826E+02   1.9018460E+04   9.3875499E+01   2.0390892E+00   1.0195446E+00
     5.4700000E+02   4.1543533E+02   1.6704406E+04   9.3875499E+01   2.0361618E+00   1.0180809E+00
     5.7700000E+02   4.1544958E+02   2.9055792E+04   9.3875499E+01   2.0504068E+00   1.0252034E+00
     6.0800000E+02   4.1550468E+02   9.9522856E+04   9.3875499E+01   2.1055117E+00   1.0527558E+00
     6.3900000E+02   4.1550356E+02   9.7765707E+04   9.3875499E+01   2.1043900E+00   1.0521950E+00
     6.6900000E+02   4.1548232E+02   6.6910911E+04   9.3875499E+01   2.0831468E+00   1.0415734E+00
     7.0000000E+02   4.1543167E+02   1.3977258E+04   9.3875499E+01   2.0324942E+00   1.0162471E+00
     7.3000000E+02   4.1560696E+02   3.0792900E+05   9.3875499E+01   2.2077856E+00   1.1038928E+00
     7.6100000E+02   4.1683416E+02   7.7121638E+06   9.3875499E+01   3.4349888E+00   1.7174944E+00
     7.9200000E+02   4.1596455E+02   1.6330305E+06   9.3875499E+01   2.5653795E+00   1.2826898E+00
     8.2100000E+02   4.1606346E+02   2.1364019E+06   9.3875499E+01   2.6642829E+00   1.3321415E+00
     8.5200000E+02   4.1543011E+02   1.2880551E+04   9.3875499E+01   2.0309395E+00   1.0154698E+00
     8.8200000E+02   4.1548530E+02   7.0952450E+04   9.3875499E+01   2.0861247E+00   1.0430624E+00
     9.1300000E+02   4.1544173E+02   2.1910434E+04   9.3875499E+01   2.0425541E+00   1.0212770E+00
     9.4300000E+02   4.1544802E+02   2.7570119E+04   9.3875499E+01   2.0488442E+00   1.0244221E+00
     9.7400000E+02   4.1550515E+02   1.0025629E+05   9.3875499E+01   2.1059775E+00   1.0529888E+00
     1.0050000E+03   4.1550190E+02   9.5180091E+04   9.3875499E+01   2.1027246E+00   1.0513623E+00
     1.0350000E+03   4.1546987E+02   5.1060013E+04   9.3875499E+01   2.0706963E+00   1.0353482E+00
     1.0660000E+03   4.1554787E+02   1.7629801E+05   9.3875499E+01   2.1486943E+00   1.0743471E+00
     1.0960000E+03   4.1678111E+02   7.2428638E+06   9.3875499E+01   3.3819393E+00   1.6909697E+00
     1.1270000E+03   4.1645992E+02   4.6606996E+06   9.3875499E+01   3.0607514E+00   1.5303757E+00
     1.1580000E+03   4.1806651E+02   2.1671721E+07   9.3875499E+01   4.6673408E+00   2.3336704E+00
     1.1860000E+03   4.1713996E+02   1.0641586E+07   9.3875499E+01   3.7407904E+00   1.8703952E+00
     1.2170000E+03   4.1552963E+02   1.4175202E+05   9.3875499E+01   2.1304559E+00   1.0652279E+00
     1.2470000E+03   4.1542549E+02   9.8386148E+03   9.3875499E+01   2.0263217E+00   1.0131609E+00
     1.2780000E+03   4.1544359E+02   2.3531365E+04   9.3875499E+01   2.0444159E+00   1.0222080E+00
     1.3080000E+03   4.1545212E+02   3.1533286E+04   9.3875499E+01   2.0529433E+00   1.0264717E+00
