obsnme,obsval,weight,obgnme,observationname,oname,otype,start,term,time,usecol,standard_deviation
oname:flux_otype:lst_usecol:drt_out_date_start:1969,551298.2961,0.0,flux,,flux,lst,1969,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1970,4858016.043780001,0.0,flux,,flux,lst,1970,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1971,2819125.90467,0.0,flux,,flux,lst,1971,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1972,2906559.16544,0.0,flux,,flux,lst,1972,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1973,7607545.726059999,0.0,flux,,flux,lst,1973,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1974,4560083.95243,0.0,flux,,flux,lst,1974,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1975,1692941.9064699998,0.0,flux,,flux,lst,1975,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1976,148288.82034,0.0,flux,,flux,lst,1976,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1977,849250.2245700001,0.0,flux,,flux,lst,1977,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1978,4328330.84859,0.0,flux,,flux,lst,1978,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1979,4368051.44412,0.0,flux,,flux,lst,1979,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1980,6240622.1938,0.0,flux,,flux,lst,1980,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1981,4063079.71299,0.0,flux,,flux,lst,1981,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1982,8744305.561549999,0.0,flux,,flux,lst,1982,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1983,10863025.82697,0.0,flux,,flux,lst,1983,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1984,984694.37497,0.0,flux,,flux,lst,1984,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1985,1452281.97989,0.0,flux,,flux,lst,1985,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1986,5373858.99393,0.0,flux,,flux,lst,1986,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1987,3791439.50069,0.0,flux,,flux,lst,1987,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1988,4473822.39131,0.0,flux,,flux,lst,1988,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1989,766134.02968,0.0,flux,,flux,lst,1989,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1990,1963307.1648499998,0.0,flux,,flux,lst,1990,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1991,652029.69867,0.0,flux,,flux,lst,1991,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1992,2931785.9566599997,0.0,flux,,flux,lst,1992,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1993,6440941.82279,0.0,flux,,flux,lst,1993,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1994,4335874.06735,0.0,flux,,flux,lst,1994,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1995,4528723.21918,0.0,flux,,flux,lst,1995,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1996,6402684.973890001,0.0,flux,,flux,lst,1996,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1997,4405776.39226,0.0,flux,,flux,lst,1997,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1998,6089014.69571,0.0,flux,,flux,lst,1998,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:1999,3511522.09794,0.0,flux,,flux,lst,1999,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2000,3122398.76038,0.0,flux,,flux,lst,2000,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2001,3590961.63711,0.0,flux,,flux,lst,2001,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2002,3629448.5751900002,0.0,flux,,flux,lst,2002,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2003,5236506.87892,0.0,flux,,flux,lst,2003,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2004,4130365.44043,0.0,flux,,flux,lst,2004,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2005,5147398.74236,0.0,flux,,flux,lst,2005,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2006,5594813.35447,0.0,flux,,flux,lst,2006,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2007,1647320.0184300002,0.0,flux,,flux,lst,2007,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2008,3586116.81782,0.0,flux,,flux,lst,2008,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2009,976054.62269,0.0,flux,,flux,lst,2009,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2010,7510968.84033,0.0,flux,,flux,lst,2010,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2011,2028938.46089,0.0,flux,,flux,lst,2011,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2012,3043372.77025,0.0,flux,,flux,lst,2012,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2013,250730.84136,0.0,flux,,flux,lst,2013,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2014,704199.46519,0.0,flux,,flux,lst,2014,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2015,795183.59992,0.0,flux,,flux,lst,2015,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2016,3987119.0072579,0.0,flux,,flux,lst,2016,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2017,5512054.7738,0.0,flux,,flux,lst,2017,,,drt,
oname:flux_otype:lst_usecol:drt_out_date_start:2018,2126692.27138,0.0,flux,,flux,lst,2018,,,drt,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1969,122072.04642,0.0,flux,,flux,lst,1969,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1970,49135802.72275,0.0,flux,,flux,lst,1970,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1971,27177750.8124,0.0,flux,,flux,lst,1971,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1972,38575209.076299995,0.0,flux,,flux,lst,1972,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1973,57836142.77492,0.0,flux,,flux,lst,1973,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1974,42150842.50335,0.0,flux,,flux,lst,1974,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1975,34776761.88748,0.0,flux,,flux,lst,1975,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1976,4762751.08181,0.0,flux,,flux,lst,1976,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1977,32151602.98421,0.0,flux,,flux,lst,1977,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1978,39748760.27621,0.0,flux,,flux,lst,1978,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1979,53671632.00816,0.0,flux,,flux,lst,1979,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1980,39439542.57945,0.0,flux,,flux,lst,1980,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1981,50085391.82606,0.0,flux,,flux,lst,1981,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1982,77080913.93379,0.0,flux,,flux,lst,1982,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1983,77663023.31299,0.0,flux,,flux,lst,1983,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1984,22741260.62323,0.0,flux,,flux,lst,1984,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1985,32629906.59426,0.0,flux,,flux,lst,1985,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1986,43259382.675400004,0.0,flux,,flux,lst,1986,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1987,51546879.95514,0.0,flux,,flux,lst,1987,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1988,36492054.60749,0.0,flux,,flux,lst,1988,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1989,17302288.8099,0.0,flux,,flux,lst,1989,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1990,24753015.36719,0.0,flux,,flux,lst,1990,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1991,31093697.467749998,0.0,flux,,flux,lst,1991,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1992,40267443.34912,0.0,flux,,flux,lst,1992,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1993,42534172.86295,0.0,flux,,flux,lst,1993,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1994,47081716.80607,0.0,flux,,flux,lst,1994,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1995,44328376.97915,0.0,flux,,flux,lst,1995,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1996,52670324.99125,0.0,flux,,flux,lst,1996,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1997,37875885.54185,0.0,flux,,flux,lst,1997,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1998,45832718.90476,0.0,flux,,flux,lst,1998,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:1999,35089404.70018,0.0,flux,,flux,lst,1999,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2000,31991372.7946,0.0,flux,,flux,lst,2000,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2001,53552290.37767,0.0,flux,,flux,lst,2001,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2002,32853594.31131,0.0,flux,,flux,lst,2002,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2003,39215220.63804,0.0,flux,,flux,lst,2003,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2004,42058804.47422,0.0,flux,,flux,lst,2004,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2005,49880072.50647,0.0,flux,,flux,lst,2005,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2006,67000609.97156,0.0,flux,,flux,lst,2006,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2007,27907296.4691,0.0,flux,,flux,lst,2007,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2008,32410789.05114,0.0,flux,,flux,lst,2008,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2009,23633349.53486,0.0,flux,,flux,lst,2009,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2010,54800201.67526,0.0,flux,,flux,lst,2010,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2011,32692903.950629998,0.0,flux,,flux,lst,2011,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2012,55686985.471599996,0.0,flux,,flux,lst,2012,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2013,2989885.68215,0.0,flux,,flux,lst,2013,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2014,31778811.106480002,0.0,flux,,flux,lst,2014,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2015,21752197.61168,0.0,flux,,flux,lst,2015,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2016,48495564.23903,0.0,flux,,flux,lst,2016,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2017,39847428.54842,0.0,flux,,flux,lst,2017,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_in_date_start:2018,30118168.0879,0.0,flux,,flux,lst,2018,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1969,1405758.9,0.0,flux,,flux,lst,1969,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1970,36964023.51753,0.0,flux,,flux,lst,1970,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1971,25532777.209009998,0.0,flux,,flux,lst,1971,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1972,28961125.3492,0.0,flux,,flux,lst,1972,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1973,41777873.85891,0.0,flux,,flux,lst,1973,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1974,37511038.507699996,0.0,flux,,flux,lst,1974,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1975,32686785.49636,0.0,flux,,flux,lst,1975,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1976,8317329.65341,0.0,flux,,flux,lst,1976,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1977,16421644.26989,0.0,flux,,flux,lst,1977,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1978,34724145.38806,0.0,flux,,flux,lst,1978,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1979,31424699.90221,0.0,flux,,flux,lst,1979,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1980,30266504.08207,0.0,flux,,flux,lst,1980,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1981,31603489.20139,0.0,flux,,flux,lst,1981,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1982,55551874.28435,0.0,flux,,flux,lst,1982,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1983,55457155.243200004,0.0,flux,,flux,lst,1983,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1984,21648743.90816,0.0,flux,,flux,lst,1984,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1985,24654582.87839,0.0,flux,,flux,lst,1985,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1986,34917557.7911,0.0,flux,,flux,lst,1986,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1987,31615250.51616,0.0,flux,,flux,lst,1987,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1988,25511667.81525,0.0,flux,,flux,lst,1988,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1989,19006049.44639,0.0,flux,,flux,lst,1989,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1990,18327619.2136,0.0,flux,,flux,lst,1990,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1991,20355894.49761,0.0,flux,,flux,lst,1991,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1992,25089216.86823,0.0,flux,,flux,lst,1992,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1993,27673668.39147,0.0,flux,,flux,lst,1993,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1994,29901948.76493,0.0,flux,,flux,lst,1994,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1995,32173846.97267,0.0,flux,,flux,lst,1995,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1996,33323471.40334,0.0,flux,,flux,lst,1996,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1997,25461301.78879,0.0,flux,,flux,lst,1997,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1998,32688946.04851,0.0,flux,,flux,lst,1998,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:1999,26544450.032,0.0,flux,,flux,lst,1999,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2000,21801144.333949998,0.0,flux,,flux,lst,2000,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2001,29126685.66997,0.0,flux,,flux,lst,2001,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2002,20844811.20348,0.0,flux,,flux,lst,2002,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2003,25984101.366219997,0.0,flux,,flux,lst,2003,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2004,25860665.43255,0.0,flux,,flux,lst,2004,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2005,31910682.57322,0.0,flux,,flux,lst,2005,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2006,45471870.58842,0.0,flux,,flux,lst,2006,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2007,19472389.86485,0.0,flux,,flux,lst,2007,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2008,20885772.13061,0.0,flux,,flux,lst,2008,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2009,14379922.88699,0.0,flux,,flux,lst,2009,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2010,31430016.69636,0.0,flux,,flux,lst,2010,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2011,26746414.284110002,0.0,flux,,flux,lst,2011,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2012,29639238.31136,0.0,flux,,flux,lst,2012,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2013,8279554.81998,0.0,flux,,flux,lst,2013,,,fmp,
oname:flux_otype:lst_usecol:fmp_fnr_out_date_start:2014,14259732.2394,0.0,flux,,flux,lst,2014,,,fmp,
