,date,ndays,kstp,Water Year,Q
0,1969-12-31,31,0,1970-01-01,18297290.322580647
1,1970-01-31,31,1,1970-01-01,68367483.87096775
2,1970-02-28,28,2,1970-01-01,10368000.0
3,1970-03-31,31,3,1970-01-01,7731406.451612903
4,1970-04-30,30,4,1970-01-01,1656000.0
5,1970-05-31,31,5,1970-01-01,593651.6129032258
6,1970-06-30,30,6,1970-01-01,340704.0
7,1970-07-31,31,7,1970-01-01,101617.54838709679
8,1970-08-31,31,8,1970-01-01,57330.580645161295
9,1970-09-30,30,9,1970-01-01,36806.399999999994
10,1970-10-31,31,10,1971-01-01,275030.7096774194
11,1970-11-30,30,11,1971-01-01,11839968.000000002
12,1970-12-31,31,12,1971-01-01,42165987.0967742
13,1971-01-31,31,13,1971-01-01,9991741.935483871
14,1971-02-28,28,14,1971-01-01,2416114.285714286
15,1971-03-31,31,15,1971-01-01,6382451.612903226
16,1971-04-30,30,16,1971-01-01,2805120.0
17,1971-05-31,31,17,1971-01-01,999452.9032258065
18,1971-06-30,30,18,1971-01-01,360000.00000000006
19,1971-07-31,31,19,1971-01-01,104460.38709677418
20,1971-08-31,31,20,1971-01-01,58640.51612903225
21,1971-09-30,30,21,1971-01-01,38131.2
22,1971-10-31,31,22,1972-01-01,53205.67741935484
23,1971-11-30,30,23,1972-01-01,252000.0
24,1971-12-31,31,24,1972-01-01,2557718.709677419
25,1972-01-31,31,25,1972-01-01,3228015.4838709673
26,1972-02-29,29,26,1972-01-01,4439172.413793104
27,1972-03-31,31,27,1972-01-01,2040154.8387096776
28,1972-04-30,30,28,1972-01-01,1279296.0
29,1972-05-31,31,29,1972-01-01,439803.870967742
30,1972-06-30,30,30,1972-01-01,119520.0
31,1972-07-31,31,31,1972-01-01,31159.741935483875
32,1972-08-31,31,32,1972-01-01,34782.967741935485
33,1972-09-30,30,33,1972-01-01,31478.399999999998
34,1972-10-31,31,34,1973-01-01,355131.87096774194
35,1972-11-30,30,35,1973-01-01,5757408.000000001
36,1972-12-31,31,36,1973-01-01,6056918.709677419
37,1973-01-31,31,37,1973-01-01,57676180.645161286
38,1973-02-28,28,38,1973-01-01,35220342.857142866
39,1973-03-31,31,39,1973-01-01,12999019.354838708
40,1973-04-30,30,40,1973-01-01,2496960.0
41,1973-05-31,31,41,1973-01-01,765058.0645161292
42,1973-06-30,30,42,1973-01-01,221472.0
43,1973-07-31,31,43,1973-01-01,175587.09677419355
44,1973-08-31,31,44,1973-01-01,83585.03225806452
45,1973-09-30,30,45,1973-01-01,53049.600000000006
46,1973-10-31,31,46,1974-01-01,114270.96774193548
47,1973-11-30,30,47,1974-01-01,20094336.0
48,1973-12-31,31,48,1974-01-01,16140077.41935484
49,1974-01-31,31,49,1974-01-01,27798503.225806452
50,1974-02-28,28,50,1974-01-01,5671542.857142857
51,1974-03-31,31,51,1974-01-01,28690374.19354839
52,1974-04-30,30,52,1974-01-01,15871680.0
53,1974-05-31,31,53,1974-01-01,1224371.6129032257
54,1974-06-30,30,54,1974-01-01,558720.0
55,1974-07-31,31,55,1974-01-01,501956.129032258
56,1974-08-31,31,56,1974-01-01,181718.7096774194
57,1974-09-30,30,57,1974-01-01,127008.0
58,1974-10-31,31,58,1975-01-01,94343.2258064516
59,1974-11-30,30,59,1975-01-01,216576.0
60,1974-12-31,31,60,1975-01-01,1175597.4193548388
61,1975-01-31,31,61,1975-01-01,1878503.2258064516
62,1975-02-28,28,62,1975-01-01,35612228.571428575
63,1975-03-31,31,63,1975-01-01,33525987.096774198
64,1975-04-30,30,64,1975-01-01,3905280.0
65,1975-05-31,31,65,1975-01-01,1191762.5806451614
66,1975-06-30,30,66,1975-01-01,432576.0
67,1975-07-31,31,67,1975-01-01,205409.03225806454
68,1975-08-31,31,68,1975-01-01,103875.09677419355
69,1975-09-30,30,69,1975-01-01,95616.00000000001
70,1975-10-31,31,70,1976-01-01,380633.80645161285
71,1975-11-30,30,71,1976-01-01,330336.0
72,1975-12-31,31,72,1976-01-01,394652.9032258064
73,1976-01-31,31,73,1976-01-01,255298.064516129
74,1976-02-29,29,74,1976-01-01,656342.0689655173
75,1976-03-31,31,75,1976-01-01,1701522.5806451614
76,1976-04-30,30,76,1976-01-01,729792.0
77,1976-05-31,31,77,1976-01-01,153011.61290322582
78,1976-06-30,30,78,1976-01-01,78258.23999999999
79,1976-07-31,31,79,1976-01-01,484.95483870967746
80,1976-08-31,31,80,1976-01-01,17319.01935483871
81,1976-09-30,30,81,1976-01-01,14002.560000000001
82,1976-10-31,31,82,1977-01-01,40663.74193548387
83,1976-11-30,30,83,1977-01-01,179855.99999999997
84,1976-12-31,31,84,1977-01-01,217672.25806451612
85,1977-01-31,31,85,1977-01-01,212822.70967741936
86,1977-02-28,28,86,1977-01-01,190820.57142857142
87,1977-03-31,31,87,1977-01-01,446492.90322580637
88,1977-04-30,30,88,1977-01-01,66067.20000000001
89,1977-05-31,31,89,1977-01-01,72826.83870967741
90,1977-06-30,30,90,1977-01-01,6194.88
91,1977-07-31,31,91,1977-01-01,86.39999999999999
92,1977-08-31,31,92,1977-01-01,86.39999999999999
93,1977-09-30,30,93,1977-01-01,198.72000000000003
94,1977-10-31,31,94,1978-01-01,21460.645161290322
95,1977-11-30,30,95,1978-01-01,4215484.800000001
96,1977-12-31,31,96,1978-01-01,8268424.258064515
97,1978-01-31,31,97,1978-01-01,50485470.96774194
98,1978-02-28,28,98,1978-01-01,26429142.857142862
99,1978-03-31,31,99,1978-01-01,17581006.4516129
100,1978-04-30,30,100,1978-01-01,6189120.0
101,1978-05-31,31,101,1978-01-01,1354529.0322580645
102,1978-06-30,30,102,1978-01-01,541440.0
103,1978-07-31,31,103,1978-01-01,154823.22580645158
104,1978-08-31,31,104,1978-01-01,85870.45161290321
105,1978-09-30,30,105,1978-01-01,126028.79999999999
106,1978-10-31,31,106,1979-01-01,78958.45161290323
107,1978-11-30,30,107,1979-01-01,97056.00000000001
108,1978-12-31,31,108,1979-01-01,130826.32258064515
109,1979-01-31,31,109,1979-01-01,17546446.451612905
110,1979-02-28,28,110,1979-01-01,17045485.714285713
111,1979-03-31,31,111,1979-01-01,9163974.193548387
112,1979-04-30,30,112,1979-01-01,2839680.0
113,1979-05-31,31,113,1979-01-01,1345331.6129032257
114,1979-06-30,30,114,1979-01-01,274752.0
115,1979-07-31,31,115,1979-01-01,114884.12903225806
116,1979-08-31,31,116,1979-01-01,64131.096774193546
117,1979-09-30,30,117,1979-01-01,43632.0
118,1979-10-31,31,118,1980-01-01,718318.4516129033
119,1979-11-30,30,119,1980-01-01,1948896.0
120,1979-12-31,31,120,1980-01-01,10779096.77419355
121,1980-01-31,31,121,1980-01-01,34677058.06451613
122,1980-02-29,29,122,1980-01-01,48890482.75862068
123,1980-03-31,31,123,1980-01-01,11953858.064516127
124,1980-04-30,30,124,1980-01-01,2188800.0
125,1980-05-31,31,125,1980-01-01,835571.6129032258
126,1980-06-30,30,126,1980-01-01,340416.0
127,1980-07-31,31,127,1980-01-01,149109.67741935485
128,1980-08-31,31,128,1980-01-01,136010.32258064518
129,1980-09-30,30,129,1980-01-01,112348.79999999999
130,1980-10-31,31,130,1981-01-01,112403.61290322582
131,1980-11-30,30,131,1981-01-01,115315.20000000001
132,1980-12-31,31,132,1981-01-01,2094503.2258064516
133,1981-01-31,31,133,1981-01-01,12299736.77419355
134,1981-02-28,28,134,1981-01-01,4350857.142857142
135,1981-03-31,31,135,1981-01-01,7539096.7741935495
136,1981-04-30,30,136,1981-01-01,1626048.0
137,1981-05-31,31,137,1981-01-01,310761.2903225806
138,1981-06-30,30,138,1981-01-01,196819.2
139,1981-07-31,31,139,1981-01-01,79237.16129032258
140,1981-08-31,31,140,1981-01-01,39019.354838709674
141,1981-09-30,30,141,1981-01-01,33010.75862068966
382,2001-10-31,31,382,2002-01-01,37988.12903225807
383,2001-11-30,30,383,2002-01-01,4094409.6000000006
384,2001-12-31,31,384,2002-01-01,32386064.51612903
385,2002-01-31,31,385,2002-01-01,23931406.4516129
386,2002-02-28,28,386,2002-01-01,5803302.857142857
387,2002-03-31,31,387,2002-01-01,6924541.935483871
388,2002-04-30,30,388,2002-01-01,1613088.0
389,2002-05-31,31,389,2002-01-01,860321.0322580644
390,2002-06-30,30,390,2002-01-01,312480.0
391,2002-07-31,31,391,2002-01-01,118953.29032258067
392,2002-08-31,31,392,2002-01-01,80547.09677419355
393,2002-09-30,30,393,2002-01-01,27072.0
394,2002-10-31,31,394,2003-01-01,73189.16129032258
395,2002-11-30,30,395,2003-01-01,444297.60000000003
396,2002-12-31,31,396,2003-01-01,46843014.19354838
397,2003-01-31,31,397,2003-01-01,13077615.483870964
398,2003-02-28,28,398,2003-01-01,4552045.714285715
399,2003-03-31,31,399,2003-01-01,3789615.4838709673
400,2003-04-30,30,400,2003-01-01,5614272.0
401,2003-05-31,31,401,2003-01-01,4753114.838709678
402,2003-06-30,30,402,2003-01-01,876326.3999999999
403,2003-07-31,31,403,2003-01-01,225699.09677419355
404,2003-08-31,31,404,2003-01-01,118869.67741935485
405,2003-09-30,30,405,2003-01-01,75369.6
406,2003-10-31,31,406,2004-01-01,94594.06451612903
407,2003-11-30,30,407,2004-01-01,271296.0
408,2003-12-31,31,408,2004-01-01,19388550.19354839
409,2004-01-31,31,409,2004-01-01,12501522.580645163
410,2004-02-29,29,410,2004-01-01,32844215.172413796
411,2004-03-31,31,411,2004-01-01,5036562.580645162
412,2004-04-30,30,412,2004-01-01,1387295.9999999998
413,2004-05-31,31,413,2004-01-01,493539.0967741936
414,2004-06-30,30,414,2004-01-01,201974.39999999997
415,2004-07-31,31,415,2004-01-01,94844.90322580647
416,2004-08-31,31,416,2004-01-01,36566.709677419356
417,2004-09-30,30,417,2004-01-01,6825.6
418,2004-10-31,31,418,2005-01-01,316335.48387096776
419,2004-11-30,30,419,2005-01-01,479836.80000000005
420,2004-12-31,31,420,2005-01-01,22259009.032258064
421,2005-01-31,31,421,2005-01-01,19648753.548387095
422,2005-02-28,28,422,2005-01-01,11083577.142857144
423,2005-03-31,31,423,2005-01-01,19778353.548387095
424,2005-04-30,30,424,2005-01-01,6359328.0
425,2005-05-31,31,425,2005-01-01,8358781.935483871
426,2005-06-30,30,426,2005-01-01,1697184.0
427,2005-07-31,31,427,2005-01-01,481303.7419354839
428,2005-08-31,31,428,2005-01-01,194650.83870967742
429,2005-09-30,30,429,2005-01-01,92246.40000000001
430,2005-10-31,31,430,2006-01-01,129934.45161290321
431,2005-11-30,30,431,2006-01-01,296236.80000000005
432,2005-12-31,31,432,2006-01-01,53828649.29032259
433,2006-01-31,31,433,2006-01-01,29351752.258064512
434,2006-02-28,28,434,2006-01-01,17663862.85714286
435,2006-03-31,31,435,2006-01-01,37957470.96774194
436,2006-04-30,30,436,2006-01-01,32274720.0
437,2006-05-31,31,437,2006-01-01,2618198.7096774187
438,2006-06-30,30,438,2006-01-01,1087948.7999999998
439,2006-07-31,31,439,2006-01-01,231273.29032258064
440,2006-08-31,31,440,2006-01-01,201312.0
441,2006-09-30,30,441,2006-01-01,135590.4
442,2006-10-31,31,442,2007-01-01,189355.3548387097
443,2006-11-30,30,443,2007-01-01,367862.4
444,2006-12-31,31,444,2007-01-01,3846806.7096774196
445,2007-01-31,31,445,2007-01-01,1171584.0
446,2007-02-28,28,446,2007-01-01,15939812.57142857
447,2007-03-31,31,447,2007-01-01,3670049.032258064
448,2007-04-30,30,448,2007-01-01,1098316.8
449,2007-05-31,31,449,2007-01-01,507307.3548387097
450,2007-06-30,30,450,2007-01-01,169488.0
451,2007-07-31,31,451,2007-01-01,54682.838709677424
452,2007-08-31,31,452,2007-01-01,22018.06451612903
453,2007-09-30,30,453,2007-01-01,10886.400000000001
454,2007-10-31,31,454,2008-01-01,37040.51612903225
455,2007-11-30,30,455,2008-01-01,51148.8
456,2007-12-31,31,456,2008-01-01,1049341.935483871
457,2008-01-31,31,457,2008-01-01,32574193.548387095
458,2008-02-29,29,458,2008-01-01,18031977.931034483
459,2008-03-31,31,459,2008-01-01,2790719.9999999995
460,2008-04-30,30,460,2008-01-01,793900.8
461,2008-05-31,31,461,2008-01-01,299417.8064516129
462,2008-06-30,30,462,2008-01-01,95011.20000000001
463,2008-07-31,31,463,2008-01-01,46544.51612903226
464,2008-08-31,31,464,2008-01-01,16137.290322580644
465,2008-09-30,30,465,2008-01-01,1641.6000000000001
466,2008-10-31,31,466,2009-01-01,2564.1290322580644
467,2008-11-30,30,467,2009-01-01,292204.80000000005
468,2008-12-31,31,468,2009-01-01,507223.7419354839
469,2009-01-31,31,469,2009-01-01,286597.16129032255
470,2009-02-28,28,470,2009-01-01,20674841.14285714
471,2009-03-31,31,471,2009-01-01,9033538.064516127
472,2009-04-30,30,472,2009-01-01,843408.0
473,2009-05-31,31,473,2009-01-01,1547591.2258064514
474,2009-06-30,30,474,2009-01-01,285148.80000000005
475,2009-07-31,31,475,2009-01-01,98691.09677419355
476,2009-08-31,31,476,2009-01-01,23300.12903225806
477,2009-09-30,30,477,2009-01-01,9619.199999999999
478,2009-10-31,31,478,2010-01-01,303709.93548387097
479,2009-11-30,30,479,2010-01-01,62956.799999999996
480,2009-12-31,31,480,2010-01-01,504436.64516129036
481,2010-01-31,31,481,2010-01-01,28453025.032258064
482,2010-02-28,28,482,2010-01-01,16618422.857142858
483,2010-03-31,31,483,2010-01-01,11875540.64516129
484,2010-04-30,30,484,2010-01-01,13751424.0
485,2010-05-31,31,485,2010-01-01,2297961.290322581
486,2010-06-30,30,486,2010-01-01,744220.8
487,2010-07-31,31,487,2010-01-01,185927.22580645164
488,2010-08-31,31,488,2010-01-01,106634.32258064515
489,2010-09-30,30,489,2010-01-01,68716.79999999999
490,2010-10-31,31,490,2011-01-01,1094102.7096774194
491,2010-11-30,30,491,2011-01-01,1408435.2000000002
492,2010-12-31,31,492,2011-01-01,23748015.48387097
493,2011-01-31,31,493,2011-01-01,6626879.999999998
494,2011-02-28,28,494,2011-01-01,17785131.42857143
495,2011-03-31,31,495,2011-01-01,45718978.06451613
496,2011-04-30,30,496,2011-01-01,5632703.999999999
497,2011-05-31,31,497,2011-01-01,1814678.7096774192
498,2011-06-30,30,498,2011-01-01,1696752.0
499,2011-07-31,31,499,2011-01-01,484453.16129032255
500,2011-08-31,31,500,2011-01-01,298386.58064516133
501,2011-09-30,30,501,2011-01-01,138902.4
502,2011-10-31,31,502,2012-01-01,241418.32258064518
503,2011-11-30,30,503,2012-01-01,258220.8
504,2011-12-31,31,504,2012-01-01,284813.41935483867
505,2012-01-31,31,505,2012-01-01,4729340.903225807
506,2012-02-29,29,506,2012-01-01,938691.3103448275
507,2012-03-31,31,507,2012-01-01,23158767.48387097
508,2012-04-30,30,508,2012-01-01,8215200.0
509,2012-05-31,31,509,2012-01-01,1210213.1612903227
510,2012-06-30,30,510,2012-01-01,333504.0
511,2012-07-31,31,511,2012-01-01,133251.09677419355
512,2012-08-31,31,512,2012-01-01,52843.35483870968
513,2012-09-30,30,513,2012-01-01,28627.199999999997
514,2012-10-31,31,514,2013-01-01,65413.161290322576
515,2012-11-30,30,515,2013-01-01,9200016.0
516,2012-12-31,31,516,2013-01-01,35716923.87096774
517,2013-01-31,31,517,2013-01-01,3572221.9354838706
518,2013-02-28,28,518,2013-01-01,1178280.0000000002
519,2013-03-31,31,519,2013-01-01,746189.4193548388
520,2013-04-30,30,520,2013-01-01,627580.8
521,2013-05-31,31,521,2013-01-01,236763.8709677419
522,2013-06-30,30,522,2013-01-01,140112.0
523,2013-07-31,31,523,2013-01-01,91305.29032258064
524,2013-08-31,31,524,2013-01-01,33974.70967741935
525,2013-09-30,30,525,2013-01-01,8991.36
526,2013-10-31,31,526,2014-01-01,12681.290322580642
527,2013-11-30,30,527,2014-01-01,125251.20000000001
528,2013-12-31,31,528,2014-01-01,168786.5806451613
529,2014-01-31,31,529,2014-01-01,173775.48387096773
530,2014-02-28,28,530,2014-01-01,14132293.714285713
531,2014-03-31,31,531,2014-01-01,5459643.870967742
532,2014-04-30,30,532,2014-01-01,4670496.0
533,2014-05-31,31,533,2014-01-01,463522.0645161291
534,2014-06-30,30,534,2014-01-01,120124.79999999999
535,2014-07-31,31,535,2014-01-01,52787.6129032258
536,2014-08-31,31,536,2014-01-01,27954.580645161288
537,2014-09-30,30,537,2014-01-01,135475.2
538,2014-10-31,31,538,2015-01-01,115246.45161290323
539,2014-11-30,30,539,2015-01-01,342892.80000000005
540,2014-12-31,31,540,2015-01-01,31131369.29032258
541,2015-01-31,31,541,2015-01-01,1866240.0
542,2015-02-28,28,542,2015-01-01,8178685.7142857155
543,2015-03-31,31,543,2015-01-01,1162609.5483870965
544,2015-04-30,30,544,2015-01-01,644515.2
545,2015-05-31,31,545,2015-01-01,374223.4838709678
546,2015-06-30,30,546,2015-01-01,209750.40000000002
547,2015-07-31,31,547,2015-01-01,86929.54838709677
548,2015-08-31,31,548,2015-01-01,22714.838709677424
549,2015-09-30,30,549,2015-01-01,1048.32
550,2015-10-31,31,550,2016-01-01,1393.5483870967741
551,2015-11-30,30,551,2016-01-01,90316.79999999999
552,2015-12-31,31,552,2016-01-01,1702553.806451613
553,2016-01-31,31,553,2016-01-01,18981912.77419355
554,2016-02-29,29,554,2016-01-01,3557892.4137931033
555,2016-03-31,31,555,2016-01-01,35025166.451612905
556,2016-04-30,30,556,2016-01-01,2255904.0
557,2016-05-31,31,557,2016-01-01,807394.0645161291
558,2016-06-30,30,558,2016-01-01,275731.19999999995
559,2016-07-31,31,559,2016-01-01,112180.64516129032
