,date,ndays,kstp,Water Year,Q
466,2008-10-31,31,466,2009-01-01,7784.361290322581
467,2008-11-30,30,467,2009-01-01,42480.00000000001
468,2008-12-31,31,468,2009-01-01,72520.25806451612
469,2009-01-31,31,469,2009-01-01,52453.161290322576
470,2009-02-28,28,470,2009-01-01,3069699.428571429
471,2009-03-31,31,471,2009-01-01,2069725.9354838713
472,2009-04-30,30,472,2009-01-01,275443.19999999995
473,2009-05-31,31,473,2009-01-01,660291.0967741936
474,2009-06-30,30,474,2009-01-01,67824.0
475,2009-07-31,31,475,2009-01-01,15524.129032258064
476,2009-08-31,31,476,2009-01-01,1800.4645161290325
477,2009-09-30,30,477,2009-01-01,86.39999999999999
478,2009-10-31,31,478,2010-01-01,34063.89677419355
479,2009-11-30,30,479,2010-01-01,6134.4
480,2009-12-31,31,480,2010-01-01,97353.29032258065
481,2010-01-31,31,481,2010-01-01,6381587.612903226
482,2010-02-28,28,482,2010-01-01,3497657.1428571423
483,2010-03-31,31,483,2010-01-01,2705016.774193548
484,2010-04-30,30,484,2010-01-01,2914271.9999999995
485,2010-05-31,31,485,2010-01-01,859540.6451612904
486,2010-06-30,30,486,2010-01-01,226656.0
487,2010-07-31,31,487,2010-01-01,32581.16129032258
488,2010-08-31,31,488,2010-01-01,4236.387096774193
489,2010-09-30,30,489,2010-01-01,964.8000000000001
490,2010-10-31,31,490,2011-01-01,433686.1935483871
491,2010-11-30,30,491,2011-01-01,493776.0
492,2010-12-31,31,492,2011-01-01,6405668.129032258
493,2011-01-31,31,493,2011-01-01,2117190.193548387
494,2011-02-28,28,494,2011-01-01,4055400.0
495,2011-03-31,31,495,2011-01-01,11575091.612903226
496,2011-04-30,30,496,2011-01-01,1689840.0
497,2011-05-31,31,497,2011-01-01,618428.9032258065
498,2011-06-30,30,498,2011-01-01,426931.20000000007
499,2011-07-31,31,499,2011-01-01,51895.74193548388
500,2011-08-31,31,500,2011-01-01,9169.548387096773
501,2011-09-30,30,501,2011-01-01,4809.599999999999
502,2011-10-31,31,502,2012-01-01,31131.870967741932
503,2011-11-30,30,503,2012-01-01,35712.0
504,2011-12-31,31,504,2012-01-01,17240.98064516129
505,2012-01-31,31,505,2012-01-01,1140340.6451612907
506,2012-02-29,29,506,2012-01-01,218264.27586206896
507,2012-03-31,31,507,2012-01-01,5933589.677419354
508,2012-04-30,30,508,2012-01-01,2328969.5999999996
509,2012-05-31,31,509,2012-01-01,393287.22580645175
510,2012-06-30,30,510,2012-01-01,88444.8
511,2012-07-31,31,511,2012-01-01,22241.03225806452
512,2012-08-31,31,512,2012-01-01,4099.81935483871
513,2012-09-30,30,513,2012-01-01,3490.56
514,2012-10-31,31,514,2013-01-01,21549.832258064518
515,2012-11-30,30,515,2013-01-01,1927872.0
516,2012-12-31,31,516,2013-01-01,8179571.612903226
517,2013-01-31,31,517,2013-01-01,1086382.4516129033
518,2013-02-28,28,518,2013-01-01,377660.5714285715
519,2013-03-31,31,519,2013-01-01,227315.61290322576
520,2013-04-30,30,520,2013-01-01,178502.40000000002
521,2013-05-31,31,521,2013-01-01,34504.25806451613
522,2013-06-30,30,522,2013-01-01,29577.6
523,2013-07-31,31,523,2013-01-01,19955.612903225807
524,2013-08-31,31,524,2013-01-01,10535.225806451614
525,2013-09-30,30,525,2013-01-01,6071.04
526,2013-10-31,31,526,2014-01-01,1181.7290322580643
527,2013-11-30,30,527,2014-01-01,12643.199999999999
528,2013-12-31,31,528,2014-01-01,12179.612903225805
529,2014-01-31,31,529,2014-01-01,7107.096774193547
530,2014-02-28,28,530,2014-01-01,4810289.142857144
531,2014-03-31,31,531,2014-01-01,1763061.677419355
532,2014-04-30,30,532,2014-01-01,1469635.2000000002
533,2014-05-31,31,533,2014-01-01,137877.67741935485
534,2014-06-30,30,534,2014-01-01,20649.6
535,2014-07-31,31,535,2014-01-01,434.78709677419357
536,2014-08-31,31,536,2014-01-01,86.39999999999999
537,2014-09-30,30,537,2014-01-01,973.44
538,2014-10-31,31,538,2015-01-01,2976.6193548387096
539,2014-11-30,30,539,2015-01-01,14976.0
540,2014-12-31,31,540,2015-01-01,6024839.225806451
541,2015-01-31,31,541,2015-01-01,559426.0645161291
542,2015-02-28,28,542,2015-01-01,1717817.142857143
543,2015-03-31,31,543,2015-01-01,294205.93548387097
544,2015-04-30,30,544,2015-01-01,107942.4
545,2015-05-31,31,545,2015-01-01,29069.419354838712
546,2015-06-30,30,546,2015-01-01,4233.6
547,2015-07-31,31,547,2015-01-01,510.0387096774193
548,2015-08-31,31,548,2015-01-01,86.39999999999999
549,2015-09-30,30,549,2015-01-01,86.39999999999999
550,2015-10-31,31,550,2016-01-01,86.39999999999999
551,2015-11-30,30,551,2016-01-01,6353.279999999999
552,2015-12-31,31,552,2016-01-01,569236.6451612904
553,2016-01-31,31,553,2016-01-01,3725233.5483870963
554,2016-02-29,29,554,2016-01-01,982665.9310344828
555,2016-03-31,31,555,2016-01-01,8116694.709677419
556,2016-04-30,30,556,2016-01-01,717264.0000000001
557,2016-05-31,31,557,2016-01-01,229963.3548387097
558,2016-06-30,30,558,2016-01-01,24537.6
559,2016-07-31,31,559,2016-01-01,3592.5677419354843
560,2016-08-31,31,560,2016-01-01,86.39999999999999
561,2016-09-30,30,561,2016-01-01,86.39999999999999
562,2016-10-31,31,562,2017-01-01,136018.68387096777
563,2016-11-30,30,563,2017-01-01,345628.80000000005
564,2016-12-31,31,564,2017-01-01,3397275.870967742
565,2017-01-31,31,565,2017-01-01,15619726.451612901
566,2017-02-28,28,566,2017-01-01,18862045.714285713
567,2017-03-31,31,567,2017-01-01,2489992.2580645164
568,2017-04-30,30,568,2017-01-01,2199744.0
569,2017-05-31,31,569,2017-01-01,533422.4516129033
570,2017-06-30,30,570,2017-01-01,103190.4
571,2017-07-31,31,571,2017-01-01,15635.612903225807
572,2017-08-31,31,572,2017-01-01,1541.2645161290325
573,2017-09-30,30,573,2017-01-01,754.5600000000001
574,2017-10-31,31,574,2018-01-01,6948.232258064514
575,2017-11-30,30,575,2018-01-01,197138.87999999998
576,2017-12-31,31,576,2018-01-01,70987.35483870967
577,2018-01-31,31,577,2018-01-01,1128439.7419354839
578,2018-02-28,28,578,2018-01-01,255281.14285714287
579,2018-03-31,31,579,2018-01-01,3775178.322580645
580,2018-04-30,30,580,2018-01-01,2922998.3999999994
581,2018-05-31,31,581,2018-01-01,327818.3225806452
582,2018-06-30,30,582,2018-01-01,50515.2
583,2018-07-31,31,583,2018-01-01,4955.4580645161295
584,2018-08-31,31,584,2018-01-01,86.39999999999999
585,2018-09-30,30,585,2018-01-01,515.52
